,T2-class,T2-Area,T2-NAAF_num.,
Verrucomicrobiae,Verrucomicrobiae,207000,23000,23000
,Thermotogae,59300,7412.5,
Sphingobacteriia,Sphingobacteriia,458000,65428.5714285714,89303.5714285714
,Sphingobacteriia,191000,23875,
,Phycisphaerae,2340000,292500,
Oligoflexia,Oligoflexia,,,7388.88888888889
,Oligoflexia,66500,7388.88888888889,
Mollicutes,Mollicutes,12100,1512.5,6500
,Mollicutes,10700,1337.5,
,Mollicutes,29200,3650,
,Ktedonobacteria,23400,2925,
Gammaproteobacteria,Gammaproteobacteria,243000,27000,52550302.3809524
,Gammaproteobacteria,39900,4987.5,
,Gammaproteobacteria,63800,7975,
,Gammaproteobacteria,427000,53375,
,Gammaproteobacteria,297000,37125,
,Gammaproteobacteria,92500,11562.5,
,Gammaproteobacteria,45400000,5675000,
,Gammaproteobacteria,53400000,6675000,
,Gammaproteobacteria,45400000,5675000,
,Gammaproteobacteria,53400000,6675000,
,Gammaproteobacteria,45400000,5675000,
,Gammaproteobacteria,53400000,6675000,
,Gammaproteobacteria,53400000,6675000,
,Gammaproteobacteria,45400000,5675000,
,Gammaproteobacteria,,,
,Gammaproteobacteria,,,
,Gammaproteobacteria,198000,24750,
,Gammaproteobacteria,140000,17500,
,Gammaproteobacteria,50800,6350,
,Gammaproteobacteria,2100000,262500,
,Gammaproteobacteria,1830000,228750,
,Gammaproteobacteria,60600,8657.14285714286,
,Gammaproteobacteria,1200000,133333.333333333,
,Gammaproteobacteria,134000,19142.8571428571,
,Gammaproteobacteria,63400,9057.14285714286,
,Gammaproteobacteria,26700,3814.28571428571,
,Gammaproteobacteria,79300,11328.5714285714,
,Gammaproteobacteria,2370000,296250,
,Gammaproteobacteria,3110000,388750,
,Gammaproteobacteria,198000,28285.7142857143,
,Gammaproteobacteria,143000,17875,
,Gammaproteobacteria,44000,5500,
,Gammaproteobacteria,16000000,1333333.33333333,
,Gammaproteobacteria,42200,3516.66666666667,
,Gammaproteobacteria,1760000,146666.666666667,
,Gammaproteobacteria,755000,62916.6666666667,
Flavobacteriia,Flavobacteriia,2100000,262500,353467.857142857
,Flavobacteriia,95400,13628.5714285714,
,Flavobacteriia,237000,29625,
,Flavobacteriia,160000,22857.1428571429,
,Flavobacteriia,174000,24857.1428571429,
Epsilonproteobacteria,Epsilonproteobacteria,4990000,554444.444444445,1073031.74603175
,Epsilonproteobacteria,175000,19444.4444444444,
,Epsilonproteobacteria,4230000,470000,
,Epsilonproteobacteria,204000,29142.8571428571,
Deltaproteobacteria,Deltaproteobacteria,102000,14571.4285714286,142564.285714286
,Deltaproteobacteria,148000,21142.8571428571,
,Deltaproteobacteria,252000,28000,
,Deltaproteobacteria,,,
,Deltaproteobacteria,176000,22000,
,Deltaproteobacteria,222000,27750,
,Deltaproteobacteria,291000,29100,
,Deinococci,532000,76000,
,Dehalococcoidia,34900,4362.5,
Cytophagia,Cytophagia,299000,37375,88291.6666666667
,Cytophagia,112000,16000,
,Cytophagia,138000,17250,
,Cytophagia,159000,17666.6666666667,
,CPR2,148,16.4444444444444,
Clostridia,Clostridia,326000,40750,248171.25
,Clostridia,264000,33000,
,Clostridia,5370,671.25,
,Clostridia,174000,21750,
,Clostridia,198000,22000,
,Clostridia,297000,37125,
,Clostridia,743000,92875,
Chitinophagia,Chitinophagia,359000,51285.7142857143,171360.714285714
,Chitinophagia,48600,6075,
,Chitinophagia,224000,28000,
,Chitinophagia,141000,17625,
,Chitinophagia,141000,17625,
,Chitinophagia,406000,50750,
Betaproteobacteria,Betaproteobacteria,999000,111000,253577.619047619
,Betaproteobacteria,327000,36333.3333333333,
,Betaproteobacteria,7610,1087.14285714286,
,Betaproteobacteria,292000,36500,
,Betaproteobacteria,387000,55285.7142857143,
,Betaproteobacteria,74000,10571.4285714286,
,Betaproteobacteria,22400,2800,
Bacteroidia,Bacteroidia,50100,7157.14285714286,146329.365079365
,Bacteroidia,249000,31125,
,Bacteroidia,412000,51500,
,Bacteroidia,389000,48625,
,Bacteroidia,71300,7922.22222222222,
Bacilli,Bacilli,294000,36750,1482184.72222222
,Bacilli,630000,126000,
,Bacilli,1130000,141250,
,Bacilli,551000,68875,
,Bacilli,35100,3900,
,Bacilli,4230000,470000,
,Bacilli,479000,53222.2222222222,
,Bacilli,95700,11962.5,
,Bacilli,3110000,388750,
,Bacilli,476000,59500,
,Bacilli,458000,57250,
,Bacilli,48800,6100,
,Bacilli,469000,58625,
Aquificae,Aquificae,4700000,587500,587500
,Anaerolineae,70400,8800,
Alphaproteobacteria,Alphaproteobacteria,107000,11888.8888888889,708721.428571428
,Alphaproteobacteria,400000,57142.8571428571,
,Alphaproteobacteria,68200,7577.77777777778,
,Alphaproteobacteria,390000,48750,
,Alphaproteobacteria,390000,48750,
,Alphaproteobacteria,439000,54875,
,Alphaproteobacteria,616000,68444.4444444444,
,Alphaproteobacteria,553000,69125,
,Alphaproteobacteria,553000,69125,
,Alphaproteobacteria,175000,21875,
,Alphaproteobacteria,175000,21875,
,Alphaproteobacteria,198000,22000,
,Alphaproteobacteria,193000,21444.4444444444,
,Alphaproteobacteria,49200,7028.57142857143,
,Alphaproteobacteria,340000,42500,
,Alphaproteobacteria,309000,38625,
,Alphaproteobacteria,319000,35444.4444444444,
,Alphaproteobacteria,498000,62250,
Actinobacteria,Actinobacteria,419000,46555.5555555556,341505.555555556
,Actinobacteria,159000,22714.2857142857,
,Actinobacteria,69000,8625,
,Actinobacteria,102000,12750,
,Actinobacteria,594000,74250,
,Actinobacteria,90700,11337.5,
,Actinobacteria,59800,7475,
,Actinobacteria,59800,7475,
,Actinobacteria,317000,39625,
,Actinobacteria,378000,54000,
,Actinobacteria,296000,42285.7142857143,
,Actinobacteria,69200,8650,
,Actinobacteria,46100,5762.5,
,Acidobacteriia,54900,6862.5,
,Acidithiobacillia,745000,106428.571428571,
Other,,194000,24250,3976605.27777777
,,45600,6514.28571428572,
,,99200,12400,
,,364000,40444.4444444444,
,,366000,40666.6666666667,
,,957000,119625,
,,791000,98875,
,,957000,119625,
,,94800,15800,
,,439000,54875,
,,71100,10157.1428571429,
,,51000,6375,
,,37000,4625,
,,104000,13000,
,,534000,66750,
,,28700,3587.5,
,,666000,83250,
,,640000,80000,
,,666000,83250,
,,27900,3985.71428571429,
,,56200,8028.57142857143,
,,1230,102.5,
,,106000,8833.33333333333,
,,30700000,2558333.33333333,
,,179000,25571.4285714286,
,,129000,18428.5714285714,
,,79300,9912.5,
,,73800,9225,
,,11800,1685.71428571429,
,,1680000,210000,
,,1600000,200000,
,,153000,21857.1428571429,
,,116000,16571.4285714286,
