Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 322_T0_trypsin,Area 322_T0_trypsin,#Peptides,#Unique,#Spec 322_T0_trypsin,PTM,Avg. Mass,Description
1,10,Thalassiosira_weissflogii_0201860518,227.26,35,35,6.44E8,72,60,300,Carbamidomethylation; Oxidation (M),42433,Thalassiosira_weissflogii_0201860518
1,11,Thalassiosira_weissflogii_0203473996,227.26,32,32,6.44E8,72,60,300,Carbamidomethylation; Oxidation (M),46928,Thalassiosira_weissflogii_0203473996
10,2,Thalassiosira_weissflogii_0203603364,204.48,49,49,2.83E7,42,20,137,Carbamidomethylation; Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
7,23,tr|A8DP72|A8DP72_THAWE,203.76,31,31,1.71E8,49,49,136,Carbamidomethylation; Oxidation (M),53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,24,Thalassiosira_weissflogii_0171383444,203.76,31,31,1.71E8,49,49,136,Carbamidomethylation; Oxidation (M),53546,Thalassiosira_weissflogii_0171383444
7,25,tr|A8DP83|A8DP83_THAWE,203.76,31,31,1.71E8,49,49,136,Carbamidomethylation; Oxidation (M),53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,26,tr|A0A089VQA3|A0A089VQA3_THAWE,203.76,30,30,1.71E8,49,49,136,Carbamidomethylation; Oxidation (M),54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
6,6,Thalassiosira_weissflogii_0201860448,195.36,46,46,4.42E6,55,6,169,Oxidation (M),32687,Thalassiosira_weissflogii_0201860448
8,1,gi|54036848,186.74,11,11,4.81E8,11,8,199,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
15,14,Thalassiosira_weissflogii_0171348692,180.20,57,57,3.45E7,27,27,66,,28857,Thalassiosira_weissflogii_0171348692
15,15,tr|A0A089VIP5|A0A089VIP5_THAWE,180.20,48,48,3.45E7,27,27,66,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
11,19,tr|A0A089VKF6|A0A089VKF6_THAWE,179.67,35,35,6.63E7,42,41,87,,56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
11,20,Thalassiosira_weissflogii_0203103378,179.67,35,35,6.63E7,42,41,87,,56361,Thalassiosira_weissflogii_0203103378
13,28,Thalassiosira_weissflogii_0201851090,178.42,34,34,8.11E4,23,1,97,Carbamidomethylation,19500,Thalassiosira_weissflogii_0201851090
16,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,173.85,20,20,2.05E7,28,28,65,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
9,18,Thalassiosira_weissflogii_0203172898,171.55,58,58,2.01E7,33,12,94,Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
19,359,tr|A0A089VKF1|A0A089VKF1_THAWE,171.42,32,32,4.37E7,15,15,43,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
12,17,Thalassiosira_weissflogii_0203264230,165.95,82,82,2.35E6,23,2,71,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
22,67,tr|A0A089VKN5|A0A089VKN5_THAWE,148.70,11,11,6.57E6,15,15,29,Carbamidomethylation,44681,Elongation factor Tu  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=tufA PE=3 SV=1
22,66,Thalassiosira_weissflogii_0203257228,148.70,11,11,6.57E6,15,15,29,Carbamidomethylation,44681,Thalassiosira_weissflogii_0203257228
14,63,tr|A0A089VKD8|A0A089VKD8_THAWE,148.31,66,66,7.14E7,25,25,54,Carbamidomethylation; Oxidation (M),15813,Ribulose-1 5-bisphosphate carboxylase/oxygenase small subunit OS=Thalassiosira weissflogii OX=1577725 GN=rbcS PE=4 SV=1
20,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,139.77,28,28,2.62E7,10,10,38,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
29,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,131.39,11,11,7.67E6,10,10,25,Carbamidomethylation; Oxidation (M),81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
18,27,Thalassiosira_weissflogii_0203239758,129.53,17,17,1.67E7,15,10,35,,66984,Thalassiosira_weissflogii_0203239758
23,40,Thalassiosira_weissflogii_0203380632,128.57,16,16,1.83E7,12,12,31,Carbamidomethylation,48650,Thalassiosira_weissflogii_0203380632
23,43,Thalassiosira_weissflogii_0201768054,128.57,12,12,1.83E7,12,12,31,Carbamidomethylation,63367,Thalassiosira_weissflogii_0201768054
21,80,Thalassiosira_weissflogii_0203204228,122.27,35,35,8.6E6,12,9,27,,21092,Thalassiosira_weissflogii_0203204228
47,45,Thalassiosira_weissflogii_0201829098,119.79,24,24,2.1E6,7,7,11,Oxidation (M),21478,Thalassiosira_weissflogii_0201829098
48,194,Thalassiosira_weissflogii_0203294158,117.05,18,18,5.5E6,8,8,17,Carbamidomethylation,20115,Thalassiosira_weissflogii_0203294158
24,69,Thalassiosira_weissflogii_0203086342,113.97,10,10,8.83E6,13,13,22,,77860,Thalassiosira_weissflogii_0203086342
36,164,Thalassiosira_weissflogii_0203417438,113.51,23,23,1.08E5,10,1,13,,23542,Thalassiosira_weissflogii_0203417438
41,81,Thalassiosira_weissflogii_0201855056,110.57,10,10,1.88E6,10,10,16,Carbamidomethylation,73590,Thalassiosira_weissflogii_0201855056
41,82,Thalassiosira_weissflogii_0203217746,110.57,10,10,1.88E6,10,10,16,Carbamidomethylation,74246,Thalassiosira_weissflogii_0203217746
43,65,tr|A0A089VQJ6|A0A089VQJ6_THAWE,110.33,58,58,5.98E6,8,8,15,Carbamidomethylation; Oxidation (M),8798,Photosystem I iron-sulfur center OS=Thalassiosira weissflogii OX=1577725 GN=psaC PE=3 SV=1
26,316,Thalassiosira_weissflogii_0201845386,109.37,16,16,2.64E7,9,9,21,,26863,Thalassiosira_weissflogii_0201845386
28,159,Thalassiosira_weissflogii_0203203762,106.64,33,33,3.84E6,10,8,14,Carbamidomethylation,21802,Thalassiosira_weissflogii_0203203762
28,160,Thalassiosira_weissflogii_0203386012,106.64,32,32,3.84E6,10,8,14,Carbamidomethylation,22430,Thalassiosira_weissflogii_0203386012
49,48,Thalassiosira_weissflogii_0203215658,106.48,12,12,3.1E6,7,7,12,,41911,Thalassiosira_weissflogii_0203215658
49,47,tr|A0A089VPE6|A0A089VPE6_THAWE,106.48,13,13,3.1E6,7,7,12,,39725,Photosystem II protein D1 OS=Thalassiosira weissflogii OX=1577725 GN=psbA PE=3 SV=1
59,108,Thalassiosira_weissflogii_0201746798,104.82,2,2,3.73E5,3,3,6,,93086,Thalassiosira_weissflogii_0201746798
34,143,Thalassiosira_weissflogii_0203358160,104.09,20,20,4.72E6,8,8,15,,21786,Thalassiosira_weissflogii_0203358160
25,103,Thalassiosira_weissflogii_0201773708,103.30,30,30,1.05E6,10,3,13,,21231,Thalassiosira_weissflogii_0201773708
50,155,Thalassiosira_weissflogii_0203296644,101.94,17,17,3.06E6,6,6,10,Carbamidomethylation,27052,Thalassiosira_weissflogii_0203296644
40,291,tr|A0A089VKB7|A0A089VKB7_THAWE,100.48,45,45,1.83E6,7,7,13,Carbamidomethylation,10765,Ferredoxin OS=Thalassiosira weissflogii OX=1577725 GN=petF PE=3 SV=1
40,292,sp|O98450|FER_THAWE,100.48,45,45,1.83E6,7,7,13,Carbamidomethylation,10765,Ferredoxin OS=Thalassiosira weissflogii OX=1577725 GN=petF PE=3 SV=3
40,293,Thalassiosira_weissflogii_0203187078,100.48,45,45,1.83E6,7,7,13,Carbamidomethylation,11012,Thalassiosira_weissflogii_0203187078
33,514,tr|A0A089VP53|A0A089VP53_THAWE,99.16,21,21,1.91E7,4,4,26,,7360,Photosystem II reaction center protein H OS=Thalassiosira weissflogii OX=1577725 GN=psbH PE=3 SV=1
65,92,Thalassiosira_weissflogii_0201833722,98.69,8,8,2.09E5,4,3,6,Oxidation (M),53624,Thalassiosira_weissflogii_0201833722
65,93,tr|A0A089VIM8|A0A089VIM8_THAWE,98.69,8,8,2.09E5,4,3,6,Oxidation (M),54087,ATP synthase subunit alpha  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpA PE=3 SV=1
80,34,Thalassiosira_weissflogii_0201801252,97.56,12,12,9.63E5,5,5,8,,51368,Thalassiosira_weissflogii_0201801252
80,33,Thalassiosira_weissflogii_0171446742,97.56,10,10,9.63E5,5,5,8,,63737,Thalassiosira_weissflogii_0171446742
80,32,Thalassiosira_weissflogii_0203321206,97.56,9,9,9.63E5,5,5,8,,69732,Thalassiosira_weissflogii_0203321206
