Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 324_T5_trypsin,Area 324_T5_trypsin,#Peptides,#Unique,#Spec 324_T5_trypsin,PTM,Avg. Mass,Description
1,7,Thalassiosira_weissflogii_0203319814,223.74,55,55,2.16E9,51,41,212,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Kynurenination,26374,Thalassiosira_weissflogii_0203319814
1,10,Thalassiosira_weissflogii_0201860518,223.74,33,33,2.16E9,51,41,212,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Kynurenination,42433,Thalassiosira_weissflogii_0201860518
1,11,Thalassiosira_weissflogii_0203473996,223.74,31,31,2.16E9,51,41,212,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Kynurenination,46928,Thalassiosira_weissflogii_0203473996
8,1,gi|54036848,211.17,11,11,8.32E8,12,12,145,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
7,19,tr|A0A089VKF6|A0A089VKF6_THAWE,209.08,28,28,1.19E8,34,34,75,Oxidation (M),56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
7,20,Thalassiosira_weissflogii_0203103378,209.08,28,28,1.19E8,34,34,75,Oxidation (M),56361,Thalassiosira_weissflogii_0203103378
11,14,Thalassiosira_weissflogii_0171348692,189.02,54,54,5.99E7,25,25,56,,28857,Thalassiosira_weissflogii_0171348692
11,15,tr|A0A089VIP5|A0A089VIP5_THAWE,189.02,46,46,5.99E7,25,25,56,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
10,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,184.49,21,21,1.26E8,35,35,89,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
2,4,Thalassiosira_weissflogii_0203265014,183.28,69,69,,35,0,120,Deamidation (NQ); Oxidation (M),21587,Thalassiosira_weissflogii_0203265014
3,3,Thalassiosira_weissflogii_0203425620,181.17,70,70,,32,0,116,Deamidation (NQ); Oxidation (M),19470,Thalassiosira_weissflogii_0203425620
4,5,Thalassiosira_weissflogii_0203508352,179.37,27,27,,32,0,104,Deamidation (NQ),45105,Thalassiosira_weissflogii_0203508352
5,6,Thalassiosira_weissflogii_0201860448,171.15,43,43,3.28E7,30,5,104,Deamidation (NQ); Oxidation (M),32687,Thalassiosira_weissflogii_0201860448
6,18,Thalassiosira_weissflogii_0203172898,167.34,50,50,8.9E7,25,10,87,Deamidation (NQ); Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
13,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,155.46,18,18,4.79E7,18,18,47,Carbamidomethylation; Oxidation (M),81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
12,17,Thalassiosira_weissflogii_0203264230,147.18,67,67,5.46E6,15,3,53,Deamidation (NQ); Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
15,2,Thalassiosira_weissflogii_0203603364,133.50,32,32,2.86E7,12,12,34,Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
16,359,tr|A0A089VKF1|A0A089VKF1_THAWE,133.35,27,27,4.21E7,8,8,23,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
18,80,Thalassiosira_weissflogii_0203204228,127.99,22,22,4.8E6,7,7,15,,21092,Thalassiosira_weissflogii_0203204228
14,42,Thalassiosira_weissflogii_0201813222,123.20,32,32,,10,0,33,Deamidation (NQ),17725,Thalassiosira_weissflogii_0201813222
17,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,120.42,23,23,1.41E7,8,8,21,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
19,27,Thalassiosira_weissflogii_0203239758,114.79,7,7,1.84E7,9,6,20,,66984,Thalassiosira_weissflogii_0203239758
25,349,Thalassiosira_weissflogii_0171393296,106.11,11,11,1.42E6,8,8,9,,68578,Thalassiosira_weissflogii_0171393296
24,143,Thalassiosira_weissflogii_0203358160,99.92,23,23,1.34E6,5,5,9,Carbamidomethylation,21786,Thalassiosira_weissflogii_0203358160
30,159,Thalassiosira_weissflogii_0203203762,94.46,11,11,7.48E5,3,3,5,,21802,Thalassiosira_weissflogii_0203203762
30,160,Thalassiosira_weissflogii_0203386012,94.46,11,11,7.48E5,3,3,5,,22430,Thalassiosira_weissflogii_0203386012
23,103,Thalassiosira_weissflogii_0201773708,92.36,10,10,2.56E6,3,1,7,,21231,Thalassiosira_weissflogii_0201773708
32,45,Thalassiosira_weissflogii_0201829098,87.42,18,18,1.36E5,3,3,4,,21478,Thalassiosira_weissflogii_0201829098
27,215,Thalassiosira_weissflogii_0203391506,84.49,12,12,7.48E5,3,3,5,,26700,Thalassiosira_weissflogii_0203391506
27,216,Thalassiosira_weissflogii_0203580532,84.49,12,12,7.48E5,3,3,5,,26802,Thalassiosira_weissflogii_0203580532
20,68,Thalassiosira_weissflogii_0203293074,84.08,8,8,,6,0,11,,40146,Thalassiosira_weissflogii_0203293074
28,40,Thalassiosira_weissflogii_0203380632,83.18,8,8,3.34E6,5,5,9,Carbamidomethylation,48650,Thalassiosira_weissflogii_0203380632
28,41,Thalassiosira_weissflogii_0171353580,83.18,6,6,3.34E6,5,5,9,Carbamidomethylation,59616,Thalassiosira_weissflogii_0171353580
28,43,Thalassiosira_weissflogii_0201768054,83.18,6,6,3.34E6,5,5,9,Carbamidomethylation,63367,Thalassiosira_weissflogii_0201768054
21,142,tr|A0A089VKI3|A0A089VKI3_THAWE,82.99,8,8,4.43E5,5,1,9,,39050,Photosystem II D2 protein OS=Thalassiosira weissflogii OX=1577725 GN=psbD PE=3 SV=1
26,355,tr|A0A089VQE1|A0A089VQE1_THAWE,82.81,16,16,1.18E7,5,5,11,,23891,Cytochrome b6 OS=Thalassiosira weissflogii OX=1577725 GN=petB PE=3 SV=1
