Peptides,GO-term,Name
117982,GO:0016021,integral component of membrane
53696,GO:0005737,cytoplasm
29347,GO:0005634,nucleus
14860,GO:0005886,plasma membrane
9026,GO:0005829,cytosol
6454,GO:0005623,cell
6194,GO:0016020,membrane
5314,GO:0005739,mitochondrion
3652,GO:0005840,ribosome
2910,GO:0005783,endoplasmic reticulum
2908,GO:0005730,nucleolus
2807,GO:0009279,cell outer membrane
2560,GO:0005576,extracellular region
2340,GO:0005794,Golgi apparatus
2323,GO:0009507,chloroplast
2078,GO:0005887,integral component of plasma membrane
1717,GO:0005615,extracellular space
1595,GO:0019898,extrinsic component of membrane
1571,GO:0005789,endoplasmic reticulum membrane
1526,GO:0005874,microtubule
1525,GO:0005694,chromosome
1501,GO:0000139,Golgi membrane
1331,GO:0043190,ATP-binding cassette (ABC) transporter complex
1306,GO:0030286,dynein complex
1120,GO:0009535,chloroplast thylakoid membrane
1072,GO:0032040,small-subunit processome
1037,GO:0005654,nucleoplasm
1033,GO:0005743,mitochondrial inner membrane
1023,GO:0016459,myosin complex
1000,GO:0071013,catalytic step 2 spliceosome
993,GO:0005813,centrosome
975,GO:0000790,nuclear chromatin
971,GO:0005643,nuclear pore
797,GO:0000307,cyclin-dependent protein kinase holoenzyme complex
751,GO:0030176,integral component of endoplasmic reticulum membrane
743,GO:0005871,kinesin complex
682,GO:0005759,mitochondrial matrix
648,GO:0000145,exocyst
647,GO:0000785,chromatin
630,GO:0042597,periplasmic space
608,GO:0005681,spliceosomal complex
602,GO:0005856,cytoskeleton
573,GO:0030173,integral component of Golgi membrane
572,GO:0000151,ubiquitin ligase complex
571,GO:0015934,large ribosomal subunit
567,GO:0043231,intracellular membrane-bounded organelle
550,GO:0015935,small ribosomal subunit
539,GO:1990904,ribonucleoprotein complex
532,GO:0005768,endosome
519,GO:0071203,WASH complex
517,GO:0005777,peroxisome
502,GO:0019867,outer membrane
495,GO:0032300,mismatch repair complex
485,GO:0046540,U4/U6 x U5 tri-snRNP complex
482,GO:0012505,endomembrane system
481,GO:0030687,"preribosome, large subunit precursor"
474,GO:0005682,U5 snRNP
466,GO:0009380,excinuclease repair complex
461,GO:0019031,viral envelope
458,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
458,GO:0022625,cytosolic large ribosomal subunit
448,GO:0055036,virion membrane
441,GO:0009536,plastid
435,GO:0000124,SAGA complex
434,GO:1990077,primosome complex
432,GO:0035267,NuA4 histone acetyltransferase complex
428,GO:0000922,spindle pole
410,GO:0031931,TORC1 complex
410,GO:0000784,"nuclear chromosome, telomeric region"
407,GO:0030126,COPI vesicle coat
406,GO:0005930,axoneme
401,GO:0000932,P-body
396,GO:0005774,vacuolar membrane
390,GO:0005839,proteasome core complex
