Peptides,GO-term,Name
697,GO:0005737,cytoplasm
654,GO:0016021,integral component of membrane
494,GO:0005829,cytosol
273,GO:0009535,chloroplast thylakoid membrane
238,GO:0005634,nucleus
237,GO:0009507,chloroplast
182,GO:0005739,mitochondrion
172,GO:0005886,plasma membrane
170,GO:0005840,ribosome
149,GO:0022625,cytosolic large ribosomal subunit
100,GO:0022627,cytosolic small ribosomal subunit
93,GO:0005623,cell
81,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
72,GO:0009536,plastid
60,GO:0016020,membrane
52,GO:0015935,small ribosomal subunit
50,GO:0005839,proteasome core complex
45,GO:0042651,thylakoid membrane
42,GO:0009523,photosystem II
34,GO:0005743,mitochondrial inner membrane
33,GO:0019773,"proteasome core complex, alpha-subunit complex"
32,GO:0033180,"proton-transporting V-type ATPase, V1 domain"
31,GO:0030132,clathrin coat of coated pit
31,GO:0030130,clathrin coat of trans-Golgi network vesicle
29,GO:0071439,clathrin complex
28,GO:0005759,mitochondrial matrix
28,GO:0008540,"proteasome regulatory particle, base subcomplex"
27,GO:0043231,intracellular membrane-bounded organelle
25,GO:0005794,Golgi apparatus
25,GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"
25,GO:0015934,large ribosomal subunit
24,GO:0009941,chloroplast envelope
22,GO:0005783,endoplasmic reticulum
21,GO:0034098,VCP-NPL4-UFD1 AAA ATPase complex
21,GO:0005788,endoplasmic reticulum lumen
21,GO:0005960,glycine cleavage complex
21,GO:0009522,photosystem I
20,GO:0009986,cell surface
20,GO:0000015,phosphopyruvate hydratase complex
20,GO:0034663,endoplasmic reticulum chaperone complex
19,GO:0016471,vacuolar proton-transporting V-type ATPase complex
18,GO:0000139,Golgi membrane
18,GO:0005874,microtubule
18,GO:0030126,COPI vesicle coat
17,GO:0032991,protein-containing complex
17,GO:0048471,perinuclear region of cytoplasm
16,GO:0012505,endomembrane system
16,GO:0005747,mitochondrial respiratory chain complex I
15,GO:0005832,chaperonin-containing T-complex
15,GO:1990904,ribonucleoprotein complex
15,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
15,GO:0009316,3-isopropylmalate dehydratase complex
13,GO:0005576,extracellular region
13,GO:0005774,vacuolar membrane
13,GO:0034515,proteasome storage granule
13,GO:0009654,photosystem II oxygen evolving complex
13,GO:0009538,photosystem I reaction center
12,GO:0033573,high-affinity iron permease complex
12,GO:0010494,cytoplasmic stress granule
12,GO:0005753,mitochondrial proton-transporting ATP synthase complex
11,GO:0008541,"proteasome regulatory particle, lid subcomplex"
11,GO:0033179,"proton-transporting V-type ATPase, V0 domain"
11,GO:0005749,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)"
11,GO:0005789,endoplasmic reticulum membrane
11,GO:0005741,mitochondrial outer membrane
11,GO:0005762,mitochondrial large ribosomal subunit
11,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain"
11,GO:0030288,outer membrane-bounded periplasmic space
10,GO:0009368,endopeptidase Clp complex
9,GO:0005730,nucleolus
9,GO:0000502,proteasome complex
9,GO:0031305,integral component of mitochondrial inner membrane
9,GO:0009570,chloroplast stroma
9,GO:0070469,respirasome
9,GO:0042709,succinate-CoA ligase complex
9,GO:0005967,mitochondrial pyruvate dehydrogenase complex
8,GO:0000786,nucleosome
8,GO:0005768,endosome
8,GO:0005856,cytoskeleton
8,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain"
8,GO:0005844,polysome
8,GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)"
8,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain"
8,GO:0031361,integral component of thylakoid membrane
7,GO:0005654,nucleoplasm
7,GO:0005643,nuclear pore
7,GO:0005765,lysosomal membrane
7,GO:0009579,thylakoid
6,GO:0005887,integral component of plasma membrane
6,GO:0005750,mitochondrial respiratory chain complex III
5,GO:0009376,HslUV protease complex
5,GO:0005615,extracellular space
5,GO:0031597,cytosolic proteasome complex
5,GO:0005784,Sec61 translocon complex
5,GO:0043626,PCNA complex
5,GO:0032040,small-subunit processome
5,GO:0005618,cell wall
4,GO:0030127,COPII vesicle coat
4,GO:0030117,membrane coat
4,GO:0030663,COPI-coated vesicle membrane
4,GO:0005852,eukaryotic translation initiation factor 3 complex
4,GO:0016282,eukaryotic 43S preinitiation complex
4,GO:0033290,eukaryotic 48S preinitiation complex
4,GO:0005740,mitochondrial envelope
4,GO:0042645,mitochondrial nucleoid
4,GO:0005635,nuclear envelope
4,GO:0019774,"proteasome core complex, beta-subunit complex"
4,GO:0005763,mitochondrial small ribosomal subunit
4,GO:0009521,photosystem
3,GO:0032153,cell division site
3,GO:0030176,integral component of endoplasmic reticulum membrane
3,GO:0005777,peroxisome
3,GO:0031207,Sec62/Sec63 complex
3,GO:0070971,endoplasmic reticulum exit site
3,GO:0009279,cell outer membrane
3,GO:0031595,nuclear proteasome complex
3,GO:0030131,clathrin adaptor complex
3,GO:0005758,mitochondrial intermembrane space
2,GO:0030125,clathrin vesicle coat
2,GO:0005795,Golgi stack
2,GO:0030687,"preribosome, large subunit precursor"
2,GO:0000790,nuclear chromatin
2,GO:0005751,mitochondrial respiratory chain complex IV
2,GO:0071541,"eukaryotic translation initiation factor 3 complex, eIF3m"
2,GO:1990077,primosome complex
2,GO:0030173,integral component of Golgi membrane
2,GO:0000159,protein phosphatase type 2A complex
2,GO:0008287,protein serine/threonine phosphatase complex
2,GO:0035267,NuA4 histone acetyltransferase complex
2,GO:0097255,R2TP complex
2,GO:0000812,Swr1 complex
2,GO:0031011,Ino80 complex
2,GO:0016607,nuclear speck
2,GO:0000932,P-body
2,GO:0005669,transcription factor TFIID complex
2,GO:0030076,light-harvesting complex
2,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment
2,GO:0045252,oxoglutarate dehydrogenase complex
2,GO:0071540,"eukaryotic translation initiation factor 3 complex, eIF3e"
2,GO:0019898,extrinsic component of membrane
2,GO:0000329,fungal-type vacuole membrane
2,GO:0031966,mitochondrial membrane
2,GO:0000922,spindle pole
2,GO:0005854,nascent polypeptide-associated complex
2,GO:0043529,GET complex
2,GO:0008537,proteasome activator complex
2,GO:0005787,signal peptidase complex
1,GO:0031080,nuclear pore outer ring
1,GO:0061617,MICOS complex
1,GO:0000148,"1,3-beta-D-glucan synthase complex"
1,GO:0000778,condensed nuclear chromosome kinetochore
1,GO:0071818,BAT3 complex
1,GO:0031588,nucleotide-activated protein kinase complex
1,GO:0009898,cytoplasmic side of plasma membrane
1,GO:0005835,fatty acid synthase complex
1,GO:0045239,tricarboxylic acid cycle enzyme complex
1,GO:0072546,ER membrane protein complex
1,GO:0016281,eukaryotic translation initiation factor 4F complex
1,GO:0071986,Ragulator complex
1,GO:0030915,Smc5-Smc6 complex
1,GO:0000177,cytoplasmic exosome (RNase complex)
1,GO:0000176,nuclear exosome (RNase complex)
1,GO:0005925,focal adhesion
1,GO:0097433,dense body
1,GO:0009328,phenylalanine-tRNA ligase complex
1,GO:0002189,ribose phosphate diphosphokinase complex
1,GO:0033115,cyanelle thylakoid membrane
1,GO:0030139,endocytic vesicle
1,GO:0005682,U5 snRNP
1,GO:0005681,spliceosomal complex
1,GO:0071013,catalytic step 2 spliceosome
1,GO:0005952,cAMP-dependent protein kinase complex
1,GO:1905754,ascospore-type prospore nucleus
1,GO:0034399,nuclear periphery
1,GO:0044666,MLL3/4 complex
1,GO:0048188,Set1C/COMPASS complex
1,GO:1902560,GMP reductase complex
1,GO:0005742,mitochondrial outer membrane translocase complex
1,GO:0031304,intrinsic component of mitochondrial inner membrane
1,GO:1990023,mitotic spindle midzone
1,GO:0030894,replisome
1,GO:1990112,RQC complex
1,GO:0036266,Cdc48p-Npl4p-Vms1p AAA ATPase complex
1,GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex
1,GO:0000837,Doa10p ubiquitin ligase complex
1,GO:0031461,cullin-RING ubiquitin ligase complex
1,GO:0045254,pyruvate dehydrogenase complex
1,GO:0000796,condensin complex
1,GO:0070062,extracellular exosome
1,GO:0005861,troponin complex
1,GO:0009379,Holliday junction helicase complex
1,GO:0000346,transcription export complex
1,GO:0046930,pore complex
1,GO:0015627,type II protein secretion system complex
1,GO:0005694,chromosome
1,GO:0000164,protein phosphatase type 1 complex
1,GO:0072357,PTW/PP1 phosphatase complex
1,GO:0034099,luminal surveillance complex
1,GO:0009705,plant-type vacuole membrane
1,GO:0031965,nuclear membrane
1,GO:0099020,perinuclear endoplasmic reticulum lumen
1,GO:0099021,cortical endoplasmic reticulum lumen
1,GO:0005811,lipid droplet
1,GO:0030428,cell septum
1,GO:0071944,cell periphery
1,GO:0031428,box C/D snoRNP complex
1,GO:0071011,precatalytic spliceosome
1,GO:0046540,U4/U6 x U5 tri-snRNP complex
1,GO:0000781,"chromosome, telomeric region"
1,GO:0014069,postsynaptic density
1,GO:0005871,kinesin complex
1,GO:0017101,aminoacyl-tRNA synthetase multienzyme complex
1,GO:0005685,U1 snRNP
1,GO:0005802,trans-Golgi network
1,GO:0018444,translation release factor complex
1,GO:0030089,phycobilisome
1,GO:0016272,prefoldin complex
1,GO:0016459,myosin complex
1,GO:0009353,mitochondrial oxoglutarate dehydrogenase complex
1,GO:0000325,plant-type vacuole
1,GO:0005720,nuclear heterochromatin
1,GO:0002199,zona pellucida receptor complex
1,GO:0000242,pericentriolar material
1,GO:0001669,acrosomal vesicle
1,GO:0044297,cell body
1,GO:0071014,post-mRNA release spliceosomal complex
1,GO:0036396,RNA N6-methyladenosine methyltransferase complex
1,GO:0030137,COPI-coated vesicle
1,GO:0005951,carbamoyl-phosphate synthase complex
1,GO:1990816,vacuole-mitochondrion membrane contact site
1,GO:0005754,"mitochondrial proton-transporting ATP synthase, catalytic core"
1,GO:0009428,"bacterial-type flagellum basal body, distal rod, P ring"
1,GO:0045273,respiratory chain complex II
1,GO:0009360,DNA polymerase III complex
1,GO:0015629,actin cytoskeleton
1,GO:0031514,motile cilium
1,GO:0005663,DNA replication factor C complex
1,GO:0017117,single-stranded DNA-dependent ATP-dependent DNA helicase complex
1,GO:0043224,nuclear SCF ubiquitin ligase complex
1,GO:0043291,RAVE complex
1,GO:0005891,voltage-gated calcium channel complex
1,GO:0030688,"preribosome, small subunit precursor"
1,GO:0097078,FAL1-SGD1 complex
1,GO:0005665,"RNA polymerase II, core complex"
1,GO:0032300,mismatch repair complex
1,GO:0045277,respiratory chain complex IV
