File,Number,Experiment,Growth,Stage,
2013_July_15_Faux_01,13C,late,exponential,,
2013_July_15_Faux_02,13C,late,exponential,,
2013_July_15_Faux_03,13C,late,exponential,,
2013_July_15_Faux_04,13C,late,exponential,,
2013_July_15_Faux_09,13C,early,exponential,,
2013_July_15_Faux_10,13C,early,exponential,,
2013_July_15_Faux_11,13C,early,exponential,,
2013_July_15_Faux_13,13C,early,stationary,,
2013_July_15_Faux_14,13C,early,stationary,,
2013_July_15_Faux_15,13C,early,stationary,,
2013_July_15_Faux_17,13C,late,stationary,,
2013_July_15_Faux_18,13C,late,stationary,,
2013_July_15_Faux_19,13C,late,stationary,,
2013_July_15_Faux_23,growth,early,exponential,,Downloaded 4/20/21
2013_July_15_Faux_24,growth,early,exponential,,
2013_July_15_Faux_25,growth,early,exponential,,
2013_July_15_Faux_27,growth,late,exponential,,
2013_July_15_Faux_28,growth,late,exponential,,
2013_July_15_Faux_29,growth,late,exponential,,
2013_July_15_Faux_31,growth,early,stationary,,
2013_July_15_Faux_32,growth,early,stationary,,
2013_July_15_Faux_33,growth,early,stationary,,
2013_July_15_Faux_35,growth,late,stationary,,
2013_July_15_Faux_36,growth,late,stationary,,
2013_July_15_Faux_37,growth,late,stationary,,
