Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 323_T2_trypsin,Area 323_T2_trypsin,#Peptides,#Unique,#Spec 323_T2_trypsin,PTM,Avg. Mass,Description
1,1,gi|54036848,151.16,9,9,4.93E8,9,9,109,Deamidation(N); Pyro-glu from Q,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
7,39069,Thalassiosira_weissflogii_0171390204,137.68,54,54,6.01E7,31,31,64,Oxidation (M); Pyro-glu from Q,20615,Thalassiosira_weissflogii_0171390204
3,23,tr|A8DP72|A8DP72_THAWE,134.83,27,27,5.61E7,32,32,69,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
3,24,Thalassiosira_weissflogii_0171383444,134.83,27,27,5.61E7,32,32,69,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53546,Thalassiosira_weissflogii_0171383444
3,25,tr|A8DP83|A8DP83_THAWE,134.83,26,26,5.61E7,32,32,69,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
3,26,tr|A0A089VQA3|A0A089VQA3_THAWE,134.83,26,26,5.61E7,32,32,69,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
14,99,Thalassiosira_weissflogii_0203627630,132.61,34,34,2.86E6,22,3,44,Deamidation(N); Oxidation(KPRY); Pyro-glu from Q,45285,Thalassiosira_weissflogii_0203627630
11,6,Thalassiosira_weissflogii_0201860448,125.79,27,27,9.98E5,23,3,40,Deamidation(N); Pyro-glu from Q,32687,Thalassiosira_weissflogii_0201860448
8,7,Thalassiosira_weissflogii_0203319814,123.32,30,30,3.45E7,20,14,48,Carbamidomethylation,26374,Thalassiosira_weissflogii_0203319814
8,10,Thalassiosira_weissflogii_0201860518,123.32,18,18,3.45E7,20,14,48,Carbamidomethylation,42433,Thalassiosira_weissflogii_0201860518
8,11,Thalassiosira_weissflogii_0203473996,123.32,16,16,3.45E7,20,14,48,Carbamidomethylation,46928,Thalassiosira_weissflogii_0203473996
15,27,Thalassiosira_weissflogii_0203239758,116.98,16,16,1.52E7,15,10,34,Oxidation (M); Oxidation(KPRY),66984,Thalassiosira_weissflogii_0203239758
18,61,Thalassiosira_weissflogii_0203389878,113.65,26,26,3.62E6,19,10,32,Carbamidomethylation; Oxidation (M); Oxidation(KPRY),46783,Thalassiosira_weissflogii_0203389878
13,17,Thalassiosira_weissflogii_0203264230,112.77,66,66,5.33E6,24,2,41,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
40,359,tr|A0A089VKF1|A0A089VKF1_THAWE,108.75,27,27,1.73E7,8,8,17,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
26,65,tr|A0A089VQJ6|A0A089VQJ6_THAWE,107.56,64,64,5.1E7,12,12,25,Carbamidomethylation; Oxidation (M),8798,Photosystem I iron-sulfur center OS=Thalassiosira weissflogii OX=1577725 GN=psaC PE=3 SV=1
21,353,Thalassiosira_weissflogii_0203355956,107.08,26,26,2.14E6,14,10,19,Oxidation (M),53122,Thalassiosira_weissflogii_0203355956
29,39072,Thalassiosira_weissflogii_0203505518,106.97,14,14,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),74830,Thalassiosira_weissflogii_0203505518
29,21061,Thalassiosira_weissflogii_0203477882,106.97,13,13,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),78048,Thalassiosira_weissflogii_0203477882
29,21062,Thalassiosira_weissflogii_0203412530,106.97,13,13,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),77884,Thalassiosira_weissflogii_0203412530
29,39073,Thalassiosira_weissflogii_0203259614,106.97,13,13,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),78761,Thalassiosira_weissflogii_0203259614
29,39074,Thalassiosira_weissflogii_0203135564,106.97,13,13,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),80315,Thalassiosira_weissflogii_0203135564
29,39076,Thalassiosira_weissflogii_0203506334,106.97,11,11,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),93240,Thalassiosira_weissflogii_0203506334
29,39077,Thalassiosira_weissflogii_0203565922,106.97,11,11,1.25E7,13,13,22,Carbamidomethylation; Oxidation (M),94496,Thalassiosira_weissflogii_0203565922
22,2260,Thalassiosira_weissflogii_0203571294,105.19,10,10,1.43E7,9,9,27,Oxidation(KPRY),67817,Thalassiosira_weissflogii_0203571294
55,191,Thalassiosira_weissflogii_0201834710,103.70,18,18,5.34E6,8,8,14,Carbamidomethylation,19740,Thalassiosira_weissflogii_0201834710
55,194,Thalassiosira_weissflogii_0203294158,103.70,18,18,5.34E6,8,8,14,Carbamidomethylation,20115,Thalassiosira_weissflogii_0203294158
55,187,Thalassiosira_weissflogii_0203382750,103.70,19,19,5.34E6,8,8,14,Carbamidomethylation,18548,Thalassiosira_weissflogii_0203382750
55,188,Thalassiosira_weissflogii_0203229036,103.70,19,19,5.34E6,8,8,14,Carbamidomethylation,18541,Thalassiosira_weissflogii_0203229036
55,195,Thalassiosira_weissflogii_0203540620,103.70,19,19,5.34E6,8,8,14,Carbamidomethylation,18633,Thalassiosira_weissflogii_0203540620
55,190,Thalassiosira_weissflogii_0203261016,103.70,19,19,5.34E6,8,8,14,Carbamidomethylation,18625,Thalassiosira_weissflogii_0203261016
55,189,Thalassiosira_weissflogii_0203604662,103.70,16,16,5.34E6,8,8,14,Carbamidomethylation,22034,Thalassiosira_weissflogii_0203604662
55,192,Thalassiosira_weissflogii_0203289348,103.70,15,15,5.34E6,8,8,14,Carbamidomethylation,24482,Thalassiosira_weissflogii_0203289348
28,148,Thalassiosira_weissflogii_0203566486,103.22,17,17,6.55E6,12,12,18,Carbamidomethylation,54093,Thalassiosira_weissflogii_0203566486
28,149,Thalassiosira_weissflogii_0203628558,103.22,16,16,6.55E6,12,12,18,Carbamidomethylation,54507,Thalassiosira_weissflogii_0203628558
24,2,Thalassiosira_weissflogii_0203603364,102.85,29,29,1.18E7,10,10,28,Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
23,93,tr|A0A089VIM8|A0A089VIM8_THAWE,102.47,17,17,1.72E7,13,12,21,Pyro-glu from Q,54087,ATP synthase subunit alpha  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpA PE=3 SV=1
16,142,tr|A0A089VKI3|A0A089VKI3_THAWE,101.64,12,12,1.69E7,10,5,39,,39050,Photosystem II D2 protein OS=Thalassiosira weissflogii OX=1577725 GN=psbD PE=3 SV=1
19,316,Thalassiosira_weissflogii_0201845386,100.91,27,27,2.9E7,16,16,23,Oxidation (M); Pyro-glu from Q,26863,Thalassiosira_weissflogii_0201845386
20,105,tr|A0A089VQC9|A0A089VQC9_THAWE,100.83,32,32,7.44E6,18,14,24,Oxidation (M); Methylation(KR); Pyro-glu from Q,51179,ATP synthase subunit beta  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpB PE=3 SV=1
20,107,Thalassiosira_weissflogii_0203290328,100.83,31,31,7.44E6,18,14,24,Oxidation (M); Methylation(KR); Pyro-glu from Q,52626,Thalassiosira_weissflogii_0203290328
20,106,Thalassiosira_weissflogii_0203202236,100.83,30,30,7.44E6,18,14,24,Oxidation (M); Methylation(KR); Pyro-glu from Q,53820,Thalassiosira_weissflogii_0203202236
