Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 323_T2_trypsin,Area 323_T2_trypsin,#Peptides,#Unique,#Spec 323_T2_trypsin,PTM,Avg. Mass,Description
5,316,Thalassiosira_weissflogii_0201845386,170.14,34,34,1.17E8,39,38,71,Oxidation (M),26863,Thalassiosira_weissflogii_0201845386
6,39069,Thalassiosira_weissflogii_0171390204,164.38,57,57,7.31E7,51,51,104,Oxidation (M),20615,Thalassiosira_weissflogii_0171390204
13,1,gi|54036848,161.74,10,10,4.13E8,11,11,96,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,23,tr|A8DP72|A8DP72_THAWE,158.98,23,23,4.19E7,30,30,61,Carbamidomethylation; Oxidation (M),53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
10,24,Thalassiosira_weissflogii_0171383444,158.98,23,23,4.19E7,30,30,61,Carbamidomethylation; Oxidation (M),53546,Thalassiosira_weissflogii_0171383444
10,25,tr|A8DP83|A8DP83_THAWE,158.98,23,23,4.19E7,30,30,61,Carbamidomethylation; Oxidation (M),53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
10,26,tr|A0A089VQA3|A0A089VQA3_THAWE,158.98,23,23,4.19E7,30,30,61,Carbamidomethylation; Oxidation (M),54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,7,Thalassiosira_weissflogii_0203319814,152.82,38,38,5.21E7,26,19,68,Carbamidomethylation,26374,Thalassiosira_weissflogii_0203319814
7,10,Thalassiosira_weissflogii_0201860518,152.82,23,23,5.21E7,26,19,68,Carbamidomethylation,42433,Thalassiosira_weissflogii_0201860518
7,11,Thalassiosira_weissflogii_0203473996,152.82,21,21,5.21E7,26,19,68,Carbamidomethylation,46928,Thalassiosira_weissflogii_0203473996
28,359,tr|A0A089VKF1|A0A089VKF1_THAWE,151.93,28,28,3.3E7,15,15,35,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
8,6,Thalassiosira_weissflogii_0201860448,148.32,28,28,1.38E6,28,6,45,Oxidation (M),32687,Thalassiosira_weissflogii_0201860448
14,105,tr|A0A089VQC9|A0A089VQC9_THAWE,146.79,31,31,1.88E7,29,21,47,,51179,ATP synthase subunit beta  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpB PE=3 SV=1
14,107,Thalassiosira_weissflogii_0203290328,146.79,30,30,1.88E7,29,21,47,,52626,Thalassiosira_weissflogii_0203290328
14,106,Thalassiosira_weissflogii_0203202236,146.79,29,29,1.88E7,29,21,47,,53820,Thalassiosira_weissflogii_0203202236
9,17,Thalassiosira_weissflogii_0203264230,141.55,68,68,5.33E6,34,2,54,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
