GO term,Day 0 TD,Day 2 TD,Day 5 TD,Day 12 TD,Day 0 ND,Day 2 ND,Day 5 ND,Day 12 ND
GO:0016021 integral component of membrane,197.0,155.0,115.0,91.0,74.0,103.0,42.0,25.0
GO:0009535 chloroplast thylakoid membrane,139.0,138.0,78.0,74.0,53.0,120.0,44.0,31.0
GO:0005737 cytoplasm,64.0,93.0,8.0,,3.0,25.0,11.0,
GO:0009507 chloroplast,59.0,89.0,49.0,42.0,23.0,61.0,29.0,17.0
GO:0005829 cytosol,50.0,85.0,,,28.0,48.0,,
GO:0016020 membrane,33.0,17.0,4.0,,7.0,17.0,,
"GO:0045261 proton-transporting ATP synthase complex, catalytic core F(1)",31.0,31.0,,8.0,,31.0,,
GO:0022627 cytosolic small ribosomal subunit,18.0,19.0,,,5.0,,,
GO:0015935 small ribosomal subunit,17.0,9.0,,,,,,
GO:0009538 photosystem I reaction center,16.0,11.0,11.0,11.0,,16.0,6.0,
GO:0030126 COPI vesicle coat,16.0,,,,,16.0,,
GO:0000139 Golgi membrane,16.0,,,,,14.0,,
GO:0009522 photosystem I,14.0,14.0,14.0,14.0,,6.0,6.0,8.0
GO:1990904 ribonucleoprotein complex,13.0,14.0,,,13.0,13.0,,
GO:0043231 intracellular membrane-bounded organelle,13.0,13.0,,,,13.0,,
GO:0005634 nucleus,13.0,26.0,2.0,,7.0,11.0,,
"GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain",13.0,,,,,,,
GO:0005794 Golgi apparatus,13.0,1.0,,,,,,
GO:0005793 endoplasmic reticulum-Golgi intermediate compartment,13.0,,,,,,,
GO:0005783 endoplasmic reticulum,13.0,8.0,1.0,,,,,
GO:0031361 integral component of thylakoid membrane,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
GO:0009523 photosystem II,11.0,16.0,10.0,8.0,1.0,10.0,5.0,3.0
GO:0005840 ribosome,11.0,27.0,5.0,,4.0,17.0,,
GO:0016471 vacuolar proton-transporting V-type ATPase complex,11.0,6.0,,,,,,
GO:0005623 cell,11.0,24.0,,,5.0,,,
GO:0005886 plasma membrane,10.0,14.0,2.0,10.0,,8.0,,
GO:0009941 chloroplast envelope,10.0,21.0,,,10.0,21.0,,
GO:0005739 mitochondrion,10.0,45.0,3.0,,10.0,11.0,,
GO:0000145 exocyst,9.0,,,,,,,
GO:0005788 endoplasmic reticulum lumen,8.0,9.0,,,,8.0,,
GO:0034663 endoplasmic reticulum chaperone complex,8.0,11.0,,,,8.0,,
GO:0010494 cytoplasmic stress granule,8.0,,,,,,,
GO:0002189 ribose phosphate diphosphokinase complex,6.0,,,,,,,
"GO:0045263 proton-transporting ATP synthase complex, coupling factor F(o)",6.0,6.0,,,,,,
GO:0009536 plastid,5.0,5.0,4.0,4.0,1.0,5.0,1.0,
GO:0022625 cytosolic large ribosomal subunit,5.0,17.0,4.0,,5.0,11.0,,
"GO:0000275 mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)",5.0,5.0,,,,5.0,,
GO:0009579 thylakoid,4.0,4.0,4.0,4.0,,3.0,3.0,
GO:0005743 mitochondrial inner membrane,4.0,3.0,4.0,,,3.0,,
"GO:0033179 proton-transporting V-type ATPase, V0 domain",4.0,8.0,2.0,,,,,
GO:0005856 cytoskeleton,3.0,3.0,,,3.0,3.0,,
GO:0000786 nucleosome,3.0,2.0,2.0,,,3.0,,
GO:0009534 chloroplast thylakoid,3.0,,,3.0,,,,
GO:0000790 nuclear chromatin,2.0,2.0,2.0,,,2.0,,
GO:0005774 vacuolar membrane,2.0,,2.0,,,,,
GO:0005750 mitochondrial respiratory chain complex III,2.0,1.0,,,2.0,,,
GO:0030076 light-harvesting complex,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GO:0009539 photosystem II reaction center,1.0,1.0,3.0,3.0,1.0,1.0,,
GO:0009521 photosystem,1.0,1.0,1.0,1.0,,1.0,,
GO:0005730 nucleolus,1.0,,,,,,,
GO:0034098 VCP-NPL4-UFD1 AAA ATPase complex,,15.0,,,,,,
GO:0015934 large ribosomal subunit,,8.0,,,,,,
GO:0000015 phosphopyruvate hydratase complex,,7.0,,,,,,
GO:0005765 lysosomal membrane,,6.0,,,,,,
GO:0009654 photosystem II oxygen evolving complex,,6.0,,,,5.0,,
GO:0031207 Sec62/Sec63 complex,,5.0,,,,,,
GO:0032991 protein-containing complex,,4.0,,,,,,
GO:0048471 perinuclear region of cytoplasm,,4.0,,,,,,
GO:0009986 cell surface,,4.0,,,,,,
GO:0031597 cytosolic proteasome complex,,4.0,,,,,,
GO:0031595 nuclear proteasome complex,,4.0,,,,,,
"GO:0008540 proteasome regulatory particle, base subcomplex",,4.0,,,,,,
GO:0043614 multi-eIF complex,,4.0,,,,,,
