GO term,T0-329,T2-330,T5-331,T12-332
GO:0009538 photosystem I reaction center,,7,,
GO:0009507 chloroplast,3,35,,
GO:0016021 integral component of membrane,2,19,,
GO:0009536 plastid ,,,,
GO:0005886 plasma membrane ,,,,
"GO:0045263 proton-transporting ATP synthase complex, coupling factor F(o)",,3,,
GO:0043231 intracellular membrane-bounded organelle,,,,
GO:0005794 Golgi apparatus,,,,
GO:0005793 endoplasmic reticulum-Golgi intermediate compartment,,,,
GO:0005783 endoplasmic reticulum,,2,,
GO:0005739 mitochondrion ,,1,,
GO:0030126 coatomer vesicle coat,,,,
GO:0005840 ribosome,,,,
GO:0015935 small ribosomal subunit,,,,
GO:0005737 cytoplasm,,5,,
