Peptides,GO-term,Name
18,GO:0055085,transmembrane transport
13,GO:0005975,carbohydrate metabolic process
9,GO:0006355,"regulation of transcription, DNA-templated"
7,GO:0032259,methylation
6,GO:0006260,DNA replication
6,GO:0015074,DNA integration
5,GO:0000160,phosphorelay signal transduction system
4,GO:0006281,DNA repair
4,GO:0007155,cell adhesion
4,GO:0008643,carbohydrate transport
4,GO:0006979,response to oxidative stress
3,GO:0070475,rRNA base methylation
3,GO:0009252,peptidoglycan biosynthetic process
3,GO:0018298,protein-chromophore linkage
3,GO:0015628,protein secretion by the type II secretion system
2,GO:0000724,double-strand break repair via homologous recombination
2,GO:0006313,"transposition, DNA-mediated"
2,GO:0006402,mRNA catabolic process
2,GO:0006396,RNA processing
2,GO:0042026,protein refolding
2,GO:0009408,response to heat
2,GO:0019538,protein metabolic process
2,GO:0006400,tRNA modification
2,GO:0046677,response to antibiotic
2,GO:0051301,cell division
2,GO:0007049,cell cycle
2,GO:0006098,pentose-phosphate shunt
2,GO:0009264,deoxyribonucleotide catabolic process
2,GO:0007165,signal transduction
2,GO:0005978,glycogen biosynthetic process
2,GO:0006177,GMP biosynthetic process
2,GO:0006189,'de novo' IMP biosynthetic process
2,GO:0006412,translation
2,GO:0071705,nitrogen compound transport
2,GO:0071586,CAAX-box protein processing
2,GO:0009253,peptidoglycan catabolic process
2,GO:0006605,protein targeting
2,GO:0065002,intracellular protein transmembrane transport
2,GO:0043952,protein transport by the Sec complex
2,GO:0006289,nucleotide-excision repair
2,GO:0009058,biosynthetic process
2,GO:0005980,glycogen catabolic process
2,GO:0009245,lipid A biosynthetic process
2,GO:0006304,DNA modification
2,GO:0006633,fatty acid biosynthetic process
2,GO:0042744,hydrogen peroxide catabolic process
2,GO:0006298,mismatch repair
2,GO:1901137,carbohydrate derivative biosynthetic process
2,GO:0006811,ion transport
2,GO:0006119,oxidative phosphorylation
2,GO:0055114,oxidation-reduction process
2,GO:0015937,coenzyme A biosynthetic process
2,GO:0015941,pantothenate catabolic process
2,GO:0006310,DNA recombination
2,GO:0045493,xylan catabolic process
2,GO:0006168,adenine salvage
2,GO:0006166,purine ribonucleoside salvage
2,GO:0044209,AMP salvage
1,GO:0006826,iron ion transport
1,GO:0009307,DNA restriction-modification system
1,GO:0042254,ribosome biogenesis
1,GO:0009117,nucleotide metabolic process
1,GO:0035999,tetrahydrofolate interconversion
1,GO:0071973,bacterial-type flagellum-dependent cell motility
1,GO:0009231,riboflavin biosynthetic process
1,GO:0045892,"negative regulation of transcription, DNA-templated"
1,GO:0006449,regulation of translational termination
1,GO:0006629,lipid metabolic process
1,GO:0006428,isoleucyl-tRNA aminoacylation
1,GO:0019464,glycine decarboxylation via glycine cleavage system
1,GO:0006231,dTMP biosynthetic process
1,GO:0016052,carbohydrate catabolic process
1,GO:0046386,deoxyribose phosphate catabolic process
1,GO:0042773,ATP synthesis coupled electron transport
1,GO:0006807,nitrogen compound metabolic process
1,GO:0006808,regulation of nitrogen utilization
1,GO:0008152,metabolic process
1,GO:0044208,'de novo' AMP biosynthetic process
1,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system
1,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
1,GO:0043094,cellular metabolic compound salvage
1,GO:0019835,cytolysis
1,GO:0042742,defense response to bacterium
1,GO:0016998,cell wall macromolecule catabolic process
1,GO:0030488,tRNA methylation
1,GO:0030261,chromosome condensation
1,GO:0007062,sister chromatid cohesion
1,GO:0071793,bacillithiol biosynthetic process
1,GO:0006044,N-acetylglucosamine metabolic process
1,GO:0090529,cell septum assembly
1,GO:0006268,DNA unwinding involved in DNA replication
1,GO:0006269,"DNA replication, synthesis of RNA primer"
1,GO:0009103,lipopolysaccharide biosynthetic process
1,GO:0009097,isoleucine biosynthetic process
1,GO:0009099,valine biosynthetic process
1,GO:0006520,cellular amino acid metabolic process
1,GO:0016042,lipid catabolic process
1,GO:0046656,folic acid biosynthetic process
1,GO:0044571,[2Fe-2S] cluster assembly
1,GO:0006090,pyruvate metabolic process
1,GO:0045454,cell redox homeostasis
1,GO:0019544,arginine catabolic process to glutamate
1,GO:0019545,arginine catabolic process to succinate
1,GO:0055072,iron ion homeostasis
1,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly
