ID,Alignments,SpecCounts,Unique,Coverage,Description,,,,,,,,,,,,
Thalassiosira_weissflogii_0203598778,1,1,1,0.002,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203453428,1,1,1,0.003,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171387744,1,1,1,0.004,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203365344,1,1,1,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171418628,1,1,1,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203326676,1,1,1,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203568866,1,1,1,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201830652,1,1,1,0.007,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203444510,1,1,1,0.008,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203123814,1,1,1,0.012,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203128372,1,1,1,0.01,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171392966,1,1,1,0.015,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171356076,1,1,1,0.015,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203390134,1,1,1,0.015,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203485622,1,1,1,0.019,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203510544,1,1,1,0.024,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203360464,1,1,1,0.033,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203603364,1,1,1,0.028,,,,,,,,,,,,,
Thalassiosira_weissflogii_0201806284,1,1,1,0.038,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203204228,2,3,1,0.066,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171445162,1,1,1,0.035,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203561094,1,1,1,0.066,,,,,,,,,,,,,
Thalassiosira_weissflogii_0171427748,1,1,1,0.062,,,,,,,,,,,,,
Thalassiosira_weissflogii_0203285468,1,1,1,0.087,,,,,,,,,,,,,
