Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 330_T2_nodigest,Area 330_T2_nodigest,#Peptides,#Unique,#Spec 330_T2_nodigest,PTM,Avg. Mass,Description
4,17,Thalassiosira_weissflogii_0203264230,116.96,82,82,1.27E8,112,7,288,Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,9829,Thalassiosira_weissflogii_0203264230
8,316,Thalassiosira_weissflogii_0201845386,115.09,56,56,7.91E8,109,100,189,Oxidation (M); Pyro-glu from Q,26863,Thalassiosira_weissflogii_0201845386
9,39069,Thalassiosira_weissflogii_0171390204,109.19,60,60,2.81E8,67,67,137,Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,20615,Thalassiosira_weissflogii_0171390204
11,23,tr|A8DP72|A8DP72_THAWE,102.82,36,36,4.51E8,78,78,131,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
11,24,Thalassiosira_weissflogii_0171383444,102.82,36,36,4.51E8,78,78,131,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,53546,Thalassiosira_weissflogii_0171383444
11,25,tr|A8DP83|A8DP83_THAWE,102.82,36,36,4.51E8,78,78,131,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
11,26,tr|A0A089VQA3|A0A089VQA3_THAWE,102.82,35,35,4.51E8,78,78,131,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,6,Thalassiosira_weissflogii_0201860448,101.29,43,43,4.54E7,113,12,231,Oxidation (M); Pyro-glu from Q,32687,Thalassiosira_weissflogii_0201860448
12,105,tr|A0A089VQC9|A0A089VQC9_THAWE,98.08,52,52,2.29E8,76,64,107,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,51179,ATP synthase subunit beta  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpB PE=3 SV=1
12,107,Thalassiosira_weissflogii_0203290328,98.08,50,50,2.28E8,75,63,106,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,52626,Thalassiosira_weissflogii_0203290328
12,106,Thalassiosira_weissflogii_0203202236,98.08,50,50,2.29E8,76,64,107,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,53820,Thalassiosira_weissflogii_0203202236
6,8,Thalassiosira_weissflogii_0203546162,94.78,41,41,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,23008,Thalassiosira_weissflogii_0203546162
6,9,Thalassiosira_weissflogii_0203258860,94.78,37,37,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,25254,Thalassiosira_weissflogii_0203258860
6,7,Thalassiosira_weissflogii_0203319814,94.78,40,40,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,26374,Thalassiosira_weissflogii_0203319814
6,12,Thalassiosira_weissflogii_0203628344,94.78,25,25,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,36917,Thalassiosira_weissflogii_0203628344
6,10,Thalassiosira_weissflogii_0201860518,94.78,22,22,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,42433,Thalassiosira_weissflogii_0201860518
6,11,Thalassiosira_weissflogii_0203473996,94.78,20,20,5.11E8,67,34,272,Oxidation (M); Pyro-glu from Q,46928,Thalassiosira_weissflogii_0203473996
22,359,tr|A0A089VKF1|A0A089VKF1_THAWE,93.88,61,61,2.47E8,31,31,54,Oxidation(KPRY); Pyro-glu from Q,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
10,1,gi|54036848,90.90,11,11,7.53E8,12,12,104,Deamidation(N); Pyro-glu from Q,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
18,508,Thalassiosira_weissflogii_0203448720,90.32,18,18,9.99E7,35,35,54,Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,22090,Thalassiosira_weissflogii_0203448720
5,310,tr|A0A089X953|A0A089X953_THAWE,88.68,46,46,1.01E9,37,37,210,Pyro-glu from Q,9514,Cytochrome b559 subunit alpha OS=Thalassiosira weissflogii OX=1577725 GN=psbE PE=3 SV=1
17,84,Thalassiosira_weissflogii_0203149732,82.41,60,60,2.44E7,43,14,67,Oxidation (M); Pyro-glu from Q,26804,Thalassiosira_weissflogii_0203149732
17,85,Thalassiosira_weissflogii_0171415618,82.41,41,41,2.44E7,43,14,67,Oxidation (M); Pyro-glu from Q,38989,Thalassiosira_weissflogii_0171415618
17,86,Thalassiosira_weissflogii_0201862216,82.41,41,41,2.44E7,44,14,68,Oxidation (M); Pyro-glu from Q,41801,Thalassiosira_weissflogii_0201862216
13,142,tr|A0A089VKI3|A0A089VKI3_THAWE,81.71,16,16,8.05E8,55,18,133,Oxidation (M); Deamidation(N); Pyro-glu from Q,39050,Photosystem II D2 protein OS=Thalassiosira weissflogii OX=1577725 GN=psbD PE=3 SV=1
19,353,Thalassiosira_weissflogii_0203355956,80.75,38,38,4.26E7,48,36,62,Oxidation (M),53122,Thalassiosira_weissflogii_0203355956
26,187,Thalassiosira_weissflogii_0203382750,80.25,37,37,2.31E7,19,19,28,Acetylation (K),18548,Thalassiosira_weissflogii_0203382750
26,188,Thalassiosira_weissflogii_0203229036,80.25,37,37,2.31E7,19,19,28,Acetylation (K),18541,Thalassiosira_weissflogii_0203229036
26,195,Thalassiosira_weissflogii_0203540620,80.25,37,37,2.31E7,19,19,28,Acetylation (K),18633,Thalassiosira_weissflogii_0203540620
26,190,Thalassiosira_weissflogii_0203261016,80.25,37,37,2.31E7,19,19,28,Acetylation (K),18625,Thalassiosira_weissflogii_0203261016
26,191,Thalassiosira_weissflogii_0201834710,80.25,35,35,2.31E7,19,19,28,Acetylation (K),19740,Thalassiosira_weissflogii_0201834710
26,194,Thalassiosira_weissflogii_0203294158,80.25,35,35,2.31E7,19,19,28,Acetylation (K),20115,Thalassiosira_weissflogii_0203294158
26,189,Thalassiosira_weissflogii_0203604662,80.25,32,32,2.31E7,19,19,28,Acetylation (K),22034,Thalassiosira_weissflogii_0203604662
26,192,Thalassiosira_weissflogii_0203289348,80.25,29,29,2.31E7,19,19,28,Acetylation (K),24482,Thalassiosira_weissflogii_0203289348
16,93,tr|A0A089VIM8|A0A089VIM8_THAWE,79.90,45,45,1.48E8,54,50,80,Oxidation (M); Pyro-glu from Q,54087,ATP synthase subunit alpha  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpA PE=3 SV=1
15,27,Thalassiosira_weissflogii_0203239758,79.27,29,29,7.37E7,63,25,115,Oxidation (M); Methylation(KR); Oxidation(KPRY); Pyro-glu from Q,66984,Thalassiosira_weissflogii_0203239758
14,18,Thalassiosira_weissflogii_0203172898,79.14,40,40,7.75E6,54,2,112,Oxidation (M); Pyro-glu from Q,22018,Thalassiosira_weissflogii_0203172898
23,20795,Thalassiosira_weissflogii_0203549518,75.70,30,30,9.12E7,25,25,41,Oxidation (M); Oxidation(KPRY),22688,Thalassiosira_weissflogii_0203549518
21,101,Thalassiosira_weissflogii_0203297084,74.11,55,55,9.98E5,30,1,49,Oxidation (M); Pyro-glu from Q,27233,Thalassiosira_weissflogii_0203297084
21,99,Thalassiosira_weissflogii_0203627630,74.11,36,36,9.98E5,31,1,50,Oxidation (M); Pyro-glu from Q,45285,Thalassiosira_weissflogii_0203627630
20,39080,Thalassiosira_weissflogii_0203399586,73.97,46,46,1.28E8,38,38,57,,18933,Thalassiosira_weissflogii_0203399586
24,111,Thalassiosira_weissflogii_0203627540,72.17,44,44,1.3E8,35,31,57,Oxidation (M); Pyro-glu from Q,23429,Thalassiosira_weissflogii_0203627540
29,63,tr|A0A089VKD8|A0A089VKD8_THAWE,71.55,51,51,8.01E7,30,30,40,Oxidation (M); Pyro-glu from Q,15813,Ribulose-1 5-bisphosphate carboxylase/oxygenase small subunit OS=Thalassiosira weissflogii OX=1577725 GN=rbcS PE=4 SV=1
27,61,Thalassiosira_weissflogii_0203389878,71.49,31,31,1.21E8,33,33,42,Oxidation (M); Methylation(KR),46783,Thalassiosira_weissflogii_0203389878
28,2260,Thalassiosira_weissflogii_0203571294,71.35,20,20,5.21E7,21,21,31,Oxidation(KPRY); Pyro-glu from Q,67817,Thalassiosira_weissflogii_0203571294
31,304,Thalassiosira_weissflogii_0203598492,71.09,20,20,3.73E7,29,29,43,Oxidation (M); Oxidation(KPRY),84598,Thalassiosira_weissflogii_0203598492
25,148,Thalassiosira_weissflogii_0203566486,70.03,26,26,5.61E7,30,30,36,Oxidation(KPRY); Pyro-glu from Q,54093,Thalassiosira_weissflogii_0203566486
37,523,Thalassiosira_weissflogii_0201776260,65.10,29,29,4.32E7,23,15,35,Oxidation (M); Pyro-glu from Q,22232,Thalassiosira_weissflogii_0201776260
30,241,Thalassiosira_weissflogii_0203450516,62.92,19,19,6.57E7,14,3,32,,19624,Thalassiosira_weissflogii_0203450516
30,236,Thalassiosira_weissflogii_0203167856,62.92,28,28,6.57E7,14,3,32,,13077,Thalassiosira_weissflogii_0203167856
30,238,Thalassiosira_weissflogii_0171353608,62.92,27,27,6.57E7,14,3,32,,14097,Thalassiosira_weissflogii_0171353608
30,237,Thalassiosira_weissflogii_0203204676,62.92,27,27,6.57E7,14,3,32,,13616,Thalassiosira_weissflogii_0203204676
30,242,Thalassiosira_weissflogii_0203198822,62.92,12,12,6.57E7,14,3,32,,32023,Thalassiosira_weissflogii_0203198822
44,248,Thalassiosira_weissflogii_0203581516,62.19,12,12,2.43E7,22,18,29,,100447,Thalassiosira_weissflogii_0203581516
35,159,Thalassiosira_weissflogii_0203203762,62.06,29,29,3.57E7,23,16,29,Pyro-glu from Q,21802,Thalassiosira_weissflogii_0203203762
35,160,Thalassiosira_weissflogii_0203386012,62.06,29,29,3.57E7,23,16,29,Pyro-glu from Q,22430,Thalassiosira_weissflogii_0203386012
40,164,Thalassiosira_weissflogii_0203417438,60.83,29,29,2.16E7,21,13,25,Pyro-glu from Q,23542,Thalassiosira_weissflogii_0203417438
32,464,tr|A0A089VKI6|A0A089VKI6_THAWE,60.35,48,48,7.21E7,20,20,31,,15533,Photosystem I subunit II OS=Thalassiosira weissflogii OX=1577725 GN=psaD PE=4 SV=1
41,39074,Thalassiosira_weissflogii_0203135564,57.90,12,12,1.55E7,12,10,19,Methylation(KR); Oxidation(KPRY),80315,Thalassiosira_weissflogii_0203135564
41,39076,Thalassiosira_weissflogii_0203506334,57.90,10,10,1.55E7,12,10,19,Methylation(KR); Oxidation(KPRY),93240,Thalassiosira_weissflogii_0203506334
41,39077,Thalassiosira_weissflogii_0203565922,57.90,10,10,1.55E7,12,10,19,Methylation(KR); Oxidation(KPRY),94496,Thalassiosira_weissflogii_0203565922
36,345,Thalassiosira_weissflogii_0171423018,56.58,25,25,1.36E8,28,26,37,Oxidation (M),26951,Thalassiosira_weissflogii_0171423018
38,243,Thalassiosira_weissflogii_0203264358,56.52,38,38,3.78E7,18,17,35,Oxidation (M); Oxidation(KPRY),21360,Thalassiosira_weissflogii_0203264358
54,39379,Thalassiosira_weissflogii_0203279580,56.23,11,11,1.26E7,8,8,12,Methylation(KR),27914,Thalassiosira_weissflogii_0203279580
42,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,55.75,5,5,8.83E7,14,14,21,Pyro-glu from Q,83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
39,20790,Thalassiosira_weissflogii_0203258570,55.40,52,52,3.14E7,16,16,22,Pyro-glu from Q,16419,Thalassiosira_weissflogii_0203258570
46,143,Thalassiosira_weissflogii_0203358160,53.22,11,11,6.93E7,16,16,27,Oxidation (M); Oxidation(KPRY),21786,Thalassiosira_weissflogii_0203358160
48,249,Thalassiosira_weissflogii_0203359074,53.06,37,37,2.16E7,11,11,14,Oxidation (M); Pyro-glu from Q,12879,Thalassiosira_weissflogii_0203359074
48,416,Thalassiosira_weissflogii_0203398754,53.06,37,37,2.16E7,11,11,14,Oxidation (M); Pyro-glu from Q,12922,Thalassiosira_weissflogii_0203398754
34,413,Thalassiosira_weissflogii_0203412222,51.48,25,25,6.65E7,20,20,31,Oxidation (M); Oxidation(KPRY),42375,Thalassiosira_weissflogii_0203412222
34,414,Thalassiosira_weissflogii_0203597848,51.48,25,25,6.65E7,20,20,31,Oxidation (M); Oxidation(KPRY),43175,Thalassiosira_weissflogii_0203597848
34,415,Thalassiosira_weissflogii_0201768036,51.48,24,24,6.65E7,20,20,31,Oxidation (M); Oxidation(KPRY),43712,Thalassiosira_weissflogii_0201768036
