Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 322_T0_trypsin,Area 322_T0_trypsin,#Peptides,#Unique,#Spec 322_T0_trypsin,PTM,Avg. Mass,Description
3,1,gi|54036848,156.23,12,12,7.67E8,13,12,209,Deamidation(N); Pyro-glu from Q,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,10,Thalassiosira_weissflogii_0201860518,147.99,30,30,3.79E8,41,32,159,Carbamidomethylation; Oxidation (M); Oxidation(KPRY),42433,Thalassiosira_weissflogii_0201860518
2,11,Thalassiosira_weissflogii_0203473996,147.99,27,27,3.79E8,41,32,159,Carbamidomethylation; Oxidation (M); Oxidation(KPRY),46928,Thalassiosira_weissflogii_0203473996
7,23,tr|A8DP72|A8DP72_THAWE,142.74,32,32,1.01E8,35,35,104,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,24,Thalassiosira_weissflogii_0171383444,142.74,31,31,1.01E8,35,35,104,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53546,Thalassiosira_weissflogii_0171383444
7,25,tr|A8DP83|A8DP83_THAWE,142.74,31,31,1.01E8,35,35,104,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
7,26,tr|A0A089VQA3|A0A089VQA3_THAWE,142.74,31,31,1.01E8,35,35,104,Carbamidomethylation; Oxidation (M); Oxidation(KPRY); Pyro-glu from Q,54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
8,6,Thalassiosira_weissflogii_0201860448,139.09,44,44,9.1E6,31,5,101,Oxidation (M); Deamidation(N),32687,Thalassiosira_weissflogii_0201860448
12,14,Thalassiosira_weissflogii_0171348692,137.78,42,42,3.63E7,16,16,56,,28857,Thalassiosira_weissflogii_0171348692
12,15,tr|A0A089VIP5|A0A089VIP5_THAWE,137.78,36,36,3.63E7,16,16,56,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
14,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,133.89,21,21,1.52E7,21,21,48,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
9,2,Thalassiosira_weissflogii_0203603364,127.72,36,36,9.99E7,19,19,93,Oxidation (M); Oxidation(KPRY),22324,Thalassiosira_weissflogii_0203603364
11,19,tr|A0A089VKF6|A0A089VKF6_THAWE,122.32,24,24,5.9E7,30,30,66,Deamidation(N),56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
11,20,Thalassiosira_weissflogii_0203103378,122.32,24,24,5.9E7,30,30,66,Deamidation(N),56361,Thalassiosira_weissflogii_0203103378
10,18,Thalassiosira_weissflogii_0203172898,117.25,48,48,9.67E6,22,8,72,Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
13,17,Thalassiosira_weissflogii_0203264230,114.40,82,82,1.15E6,17,2,55,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
17,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,107.20,31,31,2.56E7,10,9,39,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
18,27,Thalassiosira_weissflogii_0203239758,101.98,17,17,1.36E7,15,10,28,,66984,Thalassiosira_weissflogii_0203239758
19,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,101.71,9,9,8.23E6,8,8,27,Carbamidomethylation; Oxidation (M),81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
16,63,tr|A0A089VKD8|A0A089VKD8_THAWE,96.24,61,61,3.05E7,12,12,26,Carbamidomethylation,15813,Ribulose-1 5-bisphosphate carboxylase/oxygenase small subunit OS=Thalassiosira weissflogii OX=1577725 GN=rbcS PE=4 SV=1
20,40,Thalassiosira_weissflogii_0203380632,95.12,12,12,1.46E7,8,7,27,Carbamidomethylation,48650,Thalassiosira_weissflogii_0203380632
20,41,Thalassiosira_weissflogii_0171353580,95.12,10,10,1.46E7,8,7,27,Carbamidomethylation,59616,Thalassiosira_weissflogii_0171353580
