Peptides,GO-term,Name
52,GO:0016021,integral component of membrane
32,GO:0005737,cytoplasm
11,GO:0005886,plasma membrane
5,GO:0005840,ribosome
3,GO:0009279,cell outer membrane
3,GO:0005887,integral component of plasma membrane
2,GO:0016020,membrane
2,GO:0043190,ATP-binding cassette (ABC) transporter complex
2,GO:0005623,cell
1,GO:0009380,excinuclease repair complex
1,GO:0043590,bacterial nucleoid
1,GO:0031226,intrinsic component of plasma membrane
1,GO:0043684,type IV secretion system complex
1,GO:0019867,outer membrane
1,GO:0009538,photosystem I reaction center
1,GO:0042651,thylakoid membrane
