Peptides,GO-term,Name
15,GO:0018298,protein-chromophore linkage
10,GO:0009765,"photosynthesis, light harvesting"
9,GO:0015979,photosynthesis
8,GO:0009768,"photosynthesis, light harvesting in photosystem I"
8,GO:0009416,response to light stimulus
1,GO:0042549,photosystem II stabilization
1,GO:0015708,silicic acid import across plasma membrane
1,GO:0006633,fatty acid biosynthetic process
1,GO:0006665,sphingolipid metabolic process
1,GO:1901137,carbohydrate derivative biosynthetic process
