Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 323_T2_trypsin,Area 323_T2_trypsin,#Peptides,#Unique,#Spec 323_T2_trypsin,PTM,Avg. Mass,Description
4,1,gi|54036848,201.45,11,11,3.99E8,10,8,107,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,3,Thalassiosira_weissflogii_0203425620,163.53,55,55,,25,0,41,Oxidation (M),19470,Thalassiosira_weissflogii_0203425620
3,4,Thalassiosira_weissflogii_0203265014,162.18,55,55,,26,0,42,Oxidation (M),21587,Thalassiosira_weissflogii_0203265014
5,5,Thalassiosira_weissflogii_0203508352,160.08,22,22,,23,0,37,Oxidation (M),45105,Thalassiosira_weissflogii_0203508352
6,39069,Thalassiosira_weissflogii_0171390204,158.47,48,48,4.62E7,22,22,45,Oxidation (M),20615,Thalassiosira_weissflogii_0171390204
10,99,Thalassiosira_weissflogii_0203627630,157.34,26,26,2.53E6,14,1,34,Deamidation (NQ),45285,Thalassiosira_weissflogii_0203627630
8,86,Thalassiosira_weissflogii_0201862216,156.49,31,31,,16,0,37,Oxidation (M),41801,Thalassiosira_weissflogii_0201862216
7,7,Thalassiosira_weissflogii_0203319814,153.93,28,28,2.17E7,15,12,43,Carbamidomethylation,26374,Thalassiosira_weissflogii_0203319814
7,10,Thalassiosira_weissflogii_0201860518,153.93,17,17,2.17E7,15,12,43,Carbamidomethylation,42433,Thalassiosira_weissflogii_0201860518
7,11,Thalassiosira_weissflogii_0203473996,153.93,15,15,2.17E7,15,12,43,Carbamidomethylation,46928,Thalassiosira_weissflogii_0203473996
12,6,Thalassiosira_weissflogii_0201860448,146.94,27,27,9.98E5,14,3,25,Deamidation (NQ),32687,Thalassiosira_weissflogii_0201860448
39,359,tr|A0A089VKF1|A0A089VKF1_THAWE,145.93,27,27,1.99E7,8,8,17,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
11,84,Thalassiosira_weissflogii_0203149732,145.15,43,43,,16,0,37,Deamidation (NQ); Oxidation (M),26804,Thalassiosira_weissflogii_0203149732
15,27,Thalassiosira_weissflogii_0203239758,142.98,14,14,1.32E7,11,7,26,Oxidation (M),66984,Thalassiosira_weissflogii_0203239758
19,353,Thalassiosira_weissflogii_0203355956,137.97,20,20,1.11E6,11,8,14,Oxidation (M),53122,Thalassiosira_weissflogii_0203355956
9,17,Thalassiosira_weissflogii_0203264230,136.79,63,63,4.63E6,15,2,26,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
13,23,tr|A8DP72|A8DP72_THAWE,134.69,16,16,2.55E7,16,16,37,Oxidation (M),53326,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
13,24,Thalassiosira_weissflogii_0171383444,134.69,16,16,2.55E7,16,16,37,Oxidation (M),53546,Thalassiosira_weissflogii_0171383444
13,25,tr|A8DP83|A8DP83_THAWE,134.69,15,15,2.55E7,16,16,37,Oxidation (M),53976,Ribulose bisphosphate carboxylase large chain (Fragment) OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
13,26,tr|A0A089VQA3|A0A089VQA3_THAWE,134.69,15,15,2.55E7,16,16,37,Oxidation (M),54332,Ribulose bisphosphate carboxylase large chain OS=Thalassiosira weissflogii OX=1577725 GN=rbcL PE=3 SV=1
22,65,tr|A0A089VQJ6|A0A089VQJ6_THAWE,130.04,64,64,5.7E7,11,11,25,Carbamidomethylation; Oxidation (M),8798,Photosystem I iron-sulfur center OS=Thalassiosira weissflogii OX=1577725 GN=psaC PE=3 SV=1
24,61,Thalassiosira_weissflogii_0203389878,129.32,19,19,1.26E6,14,6,24,Carbamidomethylation; Oxidation (M),46783,Thalassiosira_weissflogii_0203389878
25,2,Thalassiosira_weissflogii_0203603364,128.87,32,32,1.21E7,10,10,29,Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
16,316,Thalassiosira_weissflogii_0201845386,127.53,20,20,3.09E7,13,13,18,,26863,Thalassiosira_weissflogii_0201845386
18,93,tr|A0A089VIM8|A0A089VIM8_THAWE,126.59,16,16,1.35E7,11,9,13,,54087,ATP synthase subunit alpha  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpA PE=3 SV=1
60,194,Thalassiosira_weissflogii_0203294158,123.55,18,18,5.34E6,8,8,14,Carbamidomethylation,20115,Thalassiosira_weissflogii_0203294158
60,195,Thalassiosira_weissflogii_0203540620,123.55,19,19,5.34E6,8,8,14,Carbamidomethylation,18633,Thalassiosira_weissflogii_0203540620
60,189,Thalassiosira_weissflogii_0203604662,123.55,16,16,5.34E6,8,8,14,Carbamidomethylation,22034,Thalassiosira_weissflogii_0203604662
60,187,Thalassiosira_weissflogii_0203382750,123.55,19,19,5.34E6,8,8,14,Carbamidomethylation,18548,Thalassiosira_weissflogii_0203382750
60,188,Thalassiosira_weissflogii_0203229036,123.55,19,19,5.34E6,8,8,14,Carbamidomethylation,18541,Thalassiosira_weissflogii_0203229036
60,190,Thalassiosira_weissflogii_0203261016,123.55,19,19,5.34E6,8,8,14,Carbamidomethylation,18625,Thalassiosira_weissflogii_0203261016
60,191,Thalassiosira_weissflogii_0201834710,123.55,18,18,5.34E6,8,8,14,Carbamidomethylation,19740,Thalassiosira_weissflogii_0201834710
60,192,Thalassiosira_weissflogii_0203289348,123.55,15,15,5.34E6,8,8,14,Carbamidomethylation,24482,Thalassiosira_weissflogii_0203289348
