GO term,Day 0 Bacteria,Day 2 Bacteria,Day 5 Bacteria,Day 12 Bacteria
Carbon fixation/photosynthesis,0.33112582781457,0.719424460431655,0.328947368421053,0.442477876106195
Respiration,1.98675496688742,1.43884892086331,1.64473684210526,1.76991150442478
Signal transduction,3.3112582781457,3.11750599520384,4.60526315789474,5.08849557522124
Motility,0.33112582781457,1.91846522781775,1.31578947368421,1.54867256637168
Binding,2.98013245033113,1.43884892086331,1.64473684210526,0.663716814159292
Transport,12.2516556291391,12.7098321342926,12.5,11.0619469026549
Inorganic molecule metabolism,0.993377483443709,0.479616306954436,0.328947368421053,0.442477876106195
Carbohydrate metabolic process,8.60927152317881,4.79616306954437,4.27631578947368,5.75221238938053
Lipid metabolic process,0.993377483443709,1.43884892086331,1.97368421052632,1.54867256637168
Nucleic acid metabolic processes,11.2582781456954,6.95443645083933,9.53947368421053,7.74336283185841
Protein/amino acid metabolic process,6.62251655629139,7.67386091127098,7.23684210526316,8.6283185840708
Protein modification,0,0.719424460431655,0.657894736842105,0.663716814159292
DNA methylation,4.3046357615894,3.83693045563549,3.61842105263158,1.32743362831858
Transcription,6.29139072847682,5.51558752997602,8.55263157894737,5.30973451327434
Translation,0.33112582781457,2.39808153477218,1.31578947368421,2.87610619469027
Replication,2.31788079470199,4.79616306954437,1.97368421052632,2.43362831858407
Biosynthesis,21.523178807947,21.3429256594724,22.3684210526316,26.5486725663717
Repair and stress response,9.93377483443709,6.95443645083933,7.23684210526316,7.9646017699115
Other,5.62913907284768,11.7505995203837,8.88157894736842,8.1858407079646
