Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 324_T5_trypsin,Area 324_T5_trypsin,#Peptides,#Unique,#Spec 324_T5_trypsin,PTM,Avg. Mass,Description
1,7,Thalassiosira_weissflogii_0203319814,228.57,62,62,2.76E9,93,70,367,Carbamidomethylation; Oxidation (M); Deamidation (NQ),26374,Thalassiosira_weissflogii_0203319814
1,10,Thalassiosira_weissflogii_0201860518,228.57,38,38,2.76E9,93,70,367,Carbamidomethylation; Oxidation (M); Deamidation (NQ),42433,Thalassiosira_weissflogii_0201860518
1,11,Thalassiosira_weissflogii_0203473996,228.57,35,35,2.76E9,93,70,367,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46928,Thalassiosira_weissflogii_0203473996
7,19,tr|A0A089VKF6|A0A089VKF6_THAWE,200.19,37,37,1.45E8,62,61,132,Oxidation (M),56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
7,20,Thalassiosira_weissflogii_0203103378,200.19,37,37,1.45E8,62,61,132,Oxidation (M),56361,Thalassiosira_weissflogii_0203103378
11,14,Thalassiosira_weissflogii_0171348692,194.17,59,59,7.68E7,40,40,86,,28857,Thalassiosira_weissflogii_0171348692
11,15,tr|A0A089VIP5|A0A089VIP5_THAWE,194.17,51,51,7.68E7,40,40,86,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
5,6,Thalassiosira_weissflogii_0201860448,191.32,47,47,1.71E7,66,6,182,Oxidation (M),32687,Thalassiosira_weissflogii_0201860448
8,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,186.63,25,25,1.57E8,46,46,112,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
6,18,Thalassiosira_weissflogii_0203172898,174.66,56,56,1.01E8,35,15,116,Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
12,1,gi|54036848,169.68,11,11,4.41E8,14,14,119,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,17,Thalassiosira_weissflogii_0203264230,167.96,73,73,6.27E6,36,5,86,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
14,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,160.12,26,26,5.64E7,32,32,62,Carbamidomethylation; Oxidation (M),81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
15,2,Thalassiosira_weissflogii_0203603364,145.43,41,41,3.04E7,19,19,42,Carbamidomethylation; Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
16,359,tr|A0A089VKF1|A0A089VKF1_THAWE,143.25,32,32,5.91E7,13,13,37,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
39,72,Thalassiosira_weissflogii_0201803686,124.47,6,6,5.95E6,9,8,12,Carbamidomethylation,41289,Thalassiosira_weissflogii_0201803686
39,73,Thalassiosira_weissflogii_0203570456,124.47,5,5,5.95E6,9,8,12,Carbamidomethylation,41975,Thalassiosira_weissflogii_0203570456
39,67,tr|A0A089VKN5|A0A089VKN5_THAWE,124.47,5,5,5.95E6,9,8,12,Carbamidomethylation,44681,Elongation factor Tu  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=tufA PE=3 SV=1
39,66,Thalassiosira_weissflogii_0203257228,124.47,5,5,5.95E6,9,8,12,Carbamidomethylation,44681,Thalassiosira_weissflogii_0203257228
39,74,Thalassiosira_weissflogii_0201773254,124.47,5,5,5.95E6,9,8,12,Carbamidomethylation,45212,Thalassiosira_weissflogii_0201773254
19,80,Thalassiosira_weissflogii_0203204228,118.01,28,28,5.96E6,10,8,22,,21092,Thalassiosira_weissflogii_0203204228
17,27,Thalassiosira_weissflogii_0203239758,115.14,12,12,1.84E7,14,6,25,,66984,Thalassiosira_weissflogii_0203239758
18,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,113.52,24,24,1.06E7,11,11,21,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
21,143,Thalassiosira_weissflogii_0203358160,103.29,29,29,8.77E6,12,12,17,Carbamidomethylation,21786,Thalassiosira_weissflogii_0203358160
30,355,tr|A0A089VQE1|A0A089VQE1_THAWE,95.32,16,16,7.15E6,7,7,16,,23891,Cytochrome b6 OS=Thalassiosira weissflogii OX=1577725 GN=petB PE=3 SV=1
35,349,Thalassiosira_weissflogii_0171393296,95.28,7,7,1.4E6,5,5,7,,68578,Thalassiosira_weissflogii_0171393296
29,311,Thalassiosira_weissflogii_0201805882,94.71,20,20,4.37E6,7,7,11,,25794,Thalassiosira_weissflogii_0201805882
28,40,Thalassiosira_weissflogii_0203380632,94.18,11,11,1.73E5,7,1,11,Carbamidomethylation,48650,Thalassiosira_weissflogii_0203380632
28,43,Thalassiosira_weissflogii_0201768054,94.18,9,9,1.73E5,7,1,11,Carbamidomethylation,63367,Thalassiosira_weissflogii_0201768054
