Names	total	elements
325 proteins 331 proteins	13	Thalassiosira_weissflogii_0201806284
		tr|A0A089VIP5|A0A089VIP5_THAWE
		Thalassiosira_weissflogii_0201788838
		Thalassiosira_weissflogii_0203264230
		tr|A0A089VIJ5|A0A089VIJ5_THAWE
		gi|54036848
		tr|A0A089VKF6|A0A089VKF6_THAWE
		Thalassiosira_weissflogii_0171348692
		Thalassiosira_weissflogii_0203473996
		Thalassiosira_weissflogii_0203103378
		Thalassiosira_weissflogii_0203172898
		Thalassiosira_weissflogii_0201860448
		Thalassiosira_weissflogii_0201860518
325 proteins	115	Thalassiosira_weissflogii_0203627548
		Thalassiosira_weissflogii_0203386184
		Thalassiosira_weissflogii_0203443340
		Thalassiosira_weissflogii_0203581516
		Thalassiosira_weissflogii_0201834710
		tr|A0A089VKJ4|A0A089VKJ4_THAWE
		Thalassiosira_weissflogii_0171421366
		Thalassiosira_weissflogii_0203350722
		Thalassiosira_weissflogii_0201801894
		Thalassiosira_weissflogii_0203508212
		Thalassiosira_weissflogii_0203258542
		Thalassiosira_weissflogii_0203596664
		Thalassiosira_weissflogii_0203167036
		Thalassiosira_weissflogii_0203602520
		Thalassiosira_weissflogii_0203380678
		Thalassiosira_weissflogii_0201800228
		tr|A0A089VQE1|A0A089VQE1_THAWE
		Thalassiosira_weissflogii_0171353580
		Thalassiosira_weissflogii_0203445388
		Thalassiosira_weissflogii_0201770010
		Thalassiosira_weissflogii_0201861748
		Thalassiosira_weissflogii_0203167400
		Thalassiosira_weissflogii_0203535698
		Thalassiosira_weissflogii_0201829586
		Thalassiosira_weissflogii_0203229036
		Thalassiosira_weissflogii_0203203762
		tr|A0A089VKF1|A0A089VKF1_THAWE
		Thalassiosira_weissflogii_0203105324
		Thalassiosira_weissflogii_0171415522
		Thalassiosira_weissflogii_0203107800
		Thalassiosira_weissflogii_0203416460
		Thalassiosira_weissflogii_0203447044
		Thalassiosira_weissflogii_0203239758
		Thalassiosira_weissflogii_0203416500
		Thalassiosira_weissflogii_0171423018
		Thalassiosira_weissflogii_0203478708
		Thalassiosira_weissflogii_0203358160
		Thalassiosira_weissflogii_0201805882
		Thalassiosira_weissflogii_0203580532
		Thalassiosira_weissflogii_0203540620
		Thalassiosira_weissflogii_0171360526
		Thalassiosira_weissflogii_0203474020
		Thalassiosira_weissflogii_0203294156
		Thalassiosira_weissflogii_0203258570
		Thalassiosira_weissflogii_0171330038
		Thalassiosira_weissflogii_0203169600
		Thalassiosira_weissflogii_0171420522
		Thalassiosira_weissflogii_0203352994
		Thalassiosira_weissflogii_0201773748
		Thalassiosira_weissflogii_0203627540
		Thalassiosira_weissflogii_0203172154
		Thalassiosira_weissflogii_0201798972
		Thalassiosira_weissflogii_0203351526
		Thalassiosira_weissflogii_0171384922
		Thalassiosira_weissflogii_0203255940
		Thalassiosira_weissflogii_0203350278
		Thalassiosira_weissflogii_0203215658
		Thalassiosira_weissflogii_0201768054
		Thalassiosira_weissflogii_0203604662
		Thalassiosira_weissflogii_0201836064
		tr|A0A089VKJ7|A0A089VKJ7_THAWE
		Thalassiosira_weissflogii_0203596494
		Thalassiosira_weissflogii_0203399774
		Thalassiosira_weissflogii_0201829098
		Thalassiosira_weissflogii_0171446960
		tr|A0A089VP78|A0A089VP78_THAWE
		Thalassiosira_weissflogii_0203380632
		Thalassiosira_weissflogii_0203135720
		Thalassiosira_weissflogii_0203603364
		Thalassiosira_weissflogii_0171415738
		Thalassiosira_weissflogii_0203086342
		Thalassiosira_weissflogii_0203630180
		Thalassiosira_weissflogii_0203382750
		tr|A0A089VKN5|A0A089VKN5_THAWE
		Thalassiosira_weissflogii_0203628050
		Thalassiosira_weissflogii_0203505014
		Thalassiosira_weissflogii_0201798846
		Thalassiosira_weissflogii_0203258562
		Thalassiosira_weissflogii_0203288872
		Thalassiosira_weissflogii_0171428124
		Thalassiosira_weissflogii_0203386012
		Thalassiosira_weissflogii_0203204228
		Thalassiosira_weissflogii_0203289348
		Thalassiosira_weissflogii_0203391506
		Thalassiosira_weissflogii_0203443356
		Thalassiosira_weissflogii_0203257228
		Thalassiosira_weissflogii_0203135464
		Thalassiosira_weissflogii_0203294158
		Thalassiosira_weissflogii_0171354090
		Thalassiosira_weissflogii_0203261016
		tr|A0A089VNZ5|A0A089VNZ5_THAWE
		tr|A0A089VPE6|A0A089VPE6_THAWE
		Thalassiosira_weissflogii_0171384438
		Thalassiosira_weissflogii_0203239104
		Thalassiosira_weissflogii_0203507118
		Thalassiosira_weissflogii_0203350282
		Thalassiosira_weissflogii_0203198652
		Thalassiosira_weissflogii_0201773452
		Thalassiosira_weissflogii_0203216890
		Thalassiosira_weissflogii_0203323278
		Thalassiosira_weissflogii_0203140146
		Thalassiosira_weissflogii_0201773708
		Thalassiosira_weissflogii_0201768126
		Thalassiosira_weissflogii_0203505222
		Thalassiosira_weissflogii_0203385142
		Thalassiosira_weissflogii_0171338396
		Thalassiosira_weissflogii_0203504934
		Thalassiosira_weissflogii_0203420370
		Thalassiosira_weissflogii_0171384548
		tr|A0A089X953|A0A089X953_THAWE
		Thalassiosira_weissflogii_0203508940
		Thalassiosira_weissflogii_0203104054
		Thalassiosira_weissflogii_0201777954
		Thalassiosira_weissflogii_0203350294
		Thalassiosira_weissflogii_0203294152
331 proteins	4	Thalassiosira_weissflogii_0203258860
		Thalassiosira_weissflogii_0203546162
		Thalassiosira_weissflogii_0203319814
		Thalassiosira_weissflogii_0203628344
