TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0005623", "(obsolete) cell", 0.174, -4.055, 1.480, 4.471, 1.000, 0.000, -1, False
"GO:0005793", "endoplasmic reticulum-Golgi intermediate compartment", 0.043, 8.499, -0.991, 3.908, 0.724, 0.000, -1, False
"GO:0016020", "membrane", 63.790, -4.871, -1.622, 7.077, 1.000, 0.000, -1, False
"GO:0005886", "plasma membrane", 15.694, 0.645, 6.092, 6.468, 0.964, 0.000, -1, False
"GO:0031361", "integral component of thylakoid membrane", 0.003, -3.703, -6.124, 2.723, 0.672, 0.063, -1, False
"GO:0045263", "proton-transporting ATP synthase complex, coupling factor F(o)", 0.213, 1.044, -7.363, 4.600, 0.629, 0.082, -1, False
"GO:0045261", "proton-transporting ATP synthase complex, catalytic core F(1)", 0.260, null, null, 4.688, 0.624, 0.880, 45263, True
"GO:0016021", "integral component of membrane", 56.752, -1.828, 4.471, 7.027, 0.958, 0.135, -1, False
"GO:0005829", "cytosol", 1.938, 6.463, 1.597, 5.560, 0.716, 0.181, -1, False
"GO:0005788", "endoplasmic reticulum lumen", 0.075, 7.388, -3.398, 4.147, 0.640, 0.190, -1, False
"GO:0005840", "ribosome", 3.958, 3.666, -1.364, 5.870, 0.624, 0.210, -1, False
"GO:0005741", "mitochondrial outer membrane", 0.182, 5.930, -3.908, 4.533, 0.609, 0.230, -1, False
"GO:0005737", "cytoplasm", 24.636, 3.539, 1.949, 6.664, 0.728, 0.247, -1, False
"GO:0009507", "chloroplast", 0.529, 6.791, -0.514, 4.996, 0.602, 0.259, -1, False
"GO:0009535", "chloroplast thylakoid membrane", 0.103, null, null, 4.284, 0.444, 0.845, 9507, True
"GO:0009534", "chloroplast thylakoid", 0.113, null, null, 4.328, 0.449, 0.991, 9507, True
"GO:0009536", "plastid", 0.579, 5.638, -0.030, 5.035, 0.662, 0.273, -1, False
"GO:0005739", "mitochondrion", 2.625, 5.372, -1.017, 5.692, 0.612, 0.323, -1, False
"GO:0043231", "intracellular membrane-bounded organelle", 17.803, 5.081, -1.782, 6.523, 0.539, 0.514, -1, False
"GO:0005634", "nucleus", 11.161, null, null, 6.320, 0.555, 0.704, 43231, True
"GO:0015935", "small ribosomal subunit", 0.448, 2.578, -3.961, 4.924, 0.579, 0.520, -1, False
"GO:0022627", "cytosolic small ribosomal subunit", 0.069, null, null, 4.111, 0.624, 0.714, 15935, True
"GO:0005794", "Golgi apparatus", 1.462, 6.398, -2.134, 5.438, 0.565, 0.541, -1, False
"GO:0005783", "endoplasmic reticulum", 1.871, null, null, 5.545, 0.556, 0.753, 5794, True
"GO:0030126", "COPI vesicle coat", 0.053, 4.881, -4.765, 3.997, 0.501, 0.568, -1, False
"GO:0005750", "mitochondrial respiratory chain complex III", 0.021, 3.873, -5.266, 3.599, 0.546, 0.596, -1, False
"GO:0009538", "photosystem I reaction center", 0.011, -0.841, -7.065, 3.294, 0.546, 0.613, -1, False
"GO:0009539", "photosystem II reaction center", 0.011, null, null, 3.310, 0.545, 0.744, 9538, True
"GO:0009522", "photosystem I", 0.047, null, null, 3.946, 0.510, 0.811, 9538, True
"GO:0009523", "photosystem II", 0.079, null, null, 4.170, 0.497, 0.919, 9538, True
"GO:0000139", "Golgi membrane", 0.723, 6.316, -2.945, 5.131, 0.506, 0.700, -1, False
"GO:0005762", "mitochondrial large ribosomal subunit", 0.054, 3.739, -4.167, 4.001, 0.545, 0.700, -1, False
