Peptides,GO-term,Name
3,GO:0016168,chlorophyll binding
2,GO:0005524,ATP binding
1,GO:0004177,aminopeptidase activity
1,GO:0030145,manganese ion binding
1,GO:0008235,metalloexopeptidase activity
1,GO:0004348,glucosylceramidase activity
1,GO:0016787,hydrolase activity
1,GO:0004017,adenylate kinase activity
1,GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
1,GO:0097367,carbohydrate derivative binding
1,GO:0042626,ATPase-coupled transmembrane transporter activity
