Peptides,GO-term,Name
4,GO:0006412,translation
3,GO:0006355,"regulation of transcription, DNA-templated"
3,GO:0032259,methylation
3,GO:0007165,signal transduction
3,GO:0006633,fatty acid biosynthetic process
3,GO:0055085,transmembrane transport
3,GO:0005975,carbohydrate metabolic process
2,GO:0008360,regulation of cell shape
2,GO:0009058,biosynthetic process
2,GO:0042254,ribosome biogenesis
2,GO:0006541,glutamine metabolic process
2,GO:0009307,DNA restriction-modification system
2,GO:0006281,DNA repair
2,GO:0042026,protein refolding
2,GO:0009408,response to heat
2,GO:0019538,protein metabolic process
1,GO:0009252,peptidoglycan biosynthetic process
1,GO:0071555,cell wall organization
1,GO:0006631,fatty acid metabolic process
1,GO:0006814,sodium ion transport
1,GO:0006605,protein targeting
1,GO:0065002,intracellular protein transmembrane transport
1,GO:0017038,protein import
1,GO:0000270,peptidoglycan metabolic process
1,GO:0009086,methionine biosynthetic process
1,GO:0042908,xenobiotic transport
1,GO:0009117,nucleotide metabolic process
1,GO:0006298,mismatch repair
1,GO:0016539,intein-mediated protein splicing
1,GO:0016042,lipid catabolic process
1,GO:0009225,nucleotide-sugar metabolic process
1,GO:0006635,fatty acid beta-oxidation
1,GO:0006825,copper ion transport
1,GO:0046688,response to copper ion
1,GO:0017000,antibiotic biosynthetic process
1,GO:0000725,recombinational repair
1,GO:0008643,carbohydrate transport
1,GO:0006364,rRNA processing
1,GO:0000105,histidine biosynthetic process
1,GO:0008152,metabolic process
1,GO:0006352,"DNA-templated transcription, initiation"
1,GO:0015986,ATP synthesis coupled proton transport
1,GO:0006520,cellular amino acid metabolic process
1,GO:0019752,carboxylic acid metabolic process
1,GO:0006807,nitrogen compound metabolic process
1,GO:0006525,arginine metabolic process
1,GO:0015074,DNA integration
1,GO:0006313,"transposition, DNA-mediated"
1,GO:0006099,tricarboxylic acid cycle
1,GO:0009403,toxin biosynthetic process
1,GO:0006427,histidyl-tRNA aminoacylation
1,GO:0006094,gluconeogenesis
1,GO:0006090,pyruvate metabolic process
1,GO:0042558,pteridine-containing compound metabolic process
1,GO:0000160,phosphorelay signal transduction system
1,GO:0006614,SRP-dependent cotranslational protein targeting to membrane
1,GO:0009306,protein secretion
1,GO:0008610,lipid biosynthetic process
1,GO:0015977,carbon fixation
1,GO:0042158,lipoprotein biosynthetic process
1,GO:0015940,pantothenate biosynthetic process
1,GO:0009229,thiamine diphosphate biosynthetic process
1,GO:0009228,thiamine biosynthetic process
1,GO:0006098,pentose-phosphate shunt
