Peptides,GO-term,Name
67,GO:0003677,DNA binding
66,GO:0005524,ATP binding
45,GO:0046872,metal ion binding
26,GO:0016787,hydrolase activity
21,GO:0003824,catalytic activity
19,GO:0016491,oxidoreductase activity
18,GO:0022857,transmembrane transporter activity
18,GO:0003700,DNA-binding transcription factor activity
15,GO:0016887,ATPase activity
14,GO:0016740,transferase activity
14,GO:0000155,phosphorelay sensor kinase activity
12,GO:0009055,electron transfer activity
12,GO:0003735,structural constituent of ribosome
12,GO:0000287,magnesium ion binding
12,GO:0020037,heme binding
10,GO:0051539,"4 iron, 4 sulfur cluster binding"
10,GO:0008233,peptidase activity
10,GO:0016301,kinase activity
10,GO:0003723,RNA binding
9,GO:0008270,zinc ion binding
8,GO:0000166,nucleotide binding
8,GO:0019843,rRNA binding
8,GO:0030170,pyridoxal phosphate binding
8,GO:0043565,sequence-specific DNA binding
7,GO:0050660,flavin adenine dinucleotide binding
7,GO:0016829,lyase activity
7,GO:0005509,calcium ion binding
7,GO:0004519,endonuclease activity
6,GO:0050661,NADP binding
6,GO:0016853,isomerase activity
6,GO:0005506,iron ion binding
6,GO:0003676,nucleic acid binding
6,GO:0004177,aminopeptidase activity
5,GO:0030246,carbohydrate binding
5,GO:0003678,DNA helicase activity
5,GO:0004356,glutamate-ammonia ligase activity
5,GO:0008483,transaminase activity
4,GO:0008168,methyltransferase activity
4,GO:0008236,serine-type peptidase activity
4,GO:0003887,DNA-directed DNA polymerase activity
4,GO:0008080,N-acetyltransferase activity
4,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
4,GO:0004222,metalloendopeptidase activity
4,GO:0010181,FMN binding
4,GO:0004803,transposase activity
4,GO:0004386,helicase activity
4,GO:0003684,damaged DNA binding
4,GO:0046983,protein dimerization activity
3,GO:0004362,glutathione-disulfide reductase activity
3,GO:0051537,"2 iron, 2 sulfur cluster binding"
3,GO:0016798,"hydrolase activity, acting on glycosyl bonds"
3,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
3,GO:0004527,exonuclease activity
3,GO:0003746,translation elongation factor activity
3,GO:0000150,recombinase activity
3,GO:0008484,sulfuric ester hydrolase activity
3,GO:0009982,pseudouridine synthase activity
3,GO:0051536,iron-sulfur cluster binding
3,GO:0004888,transmembrane signaling receptor activity
3,GO:0008658,penicillin binding
3,GO:0030145,manganese ion binding
3,GO:0004252,serine-type endopeptidase activity
3,GO:0042626,ATPase-coupled transmembrane transporter activity
3,GO:0016874,ligase activity
3,GO:0051287,NAD binding
2,GO:0016668,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"
2,GO:0009381,excinuclease ABC activity
2,GO:0030151,molybdenum ion binding
2,GO:0005525,GTP binding
2,GO:0008253,5'-nucleotidase activity
2,GO:0004673,protein histidine kinase activity
