Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 325_T12_trypsin,Area 325_T12_trypsin,#Peptides,#Unique,#Spec 325_T12_trypsin,PTM,Avg. Mass,Description
1,10,Thalassiosira_weissflogii_0201860518,246.59,35,35,1.48E9,72,58,352,Carbamidomethylation; Oxidation (M),42433,Thalassiosira_weissflogii_0201860518
1,11,Thalassiosira_weissflogii_0203473996,246.59,33,33,1.48E9,72,58,352,Carbamidomethylation; Oxidation (M),46928,Thalassiosira_weissflogii_0203473996
5,6,Thalassiosira_weissflogii_0201860448,222.23,49,49,4.98E7,68,8,221,Oxidation (M),32687,Thalassiosira_weissflogii_0201860448
7,19,tr|A0A089VKF6|A0A089VKF6_THAWE,217.16,43,43,1.5E8,57,57,130,,56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
7,20,Thalassiosira_weissflogii_0203103378,217.16,43,43,1.5E8,57,57,130,,56361,Thalassiosira_weissflogii_0203103378
8,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,207.25,28,28,1.88E8,44,44,127,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
11,1,gi|54036848,203.79,11,11,7.7E8,13,13,133,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
13,14,Thalassiosira_weissflogii_0171348692,196.15,45,45,7.69E7,22,22,50,,28857,Thalassiosira_weissflogii_0171348692
13,15,tr|A0A089VIP5|A0A089VIP5_THAWE,196.15,39,39,7.69E7,22,22,50,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
10,17,Thalassiosira_weissflogii_0203264230,195.35,85,85,6.77E6,37,6,102,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
6,18,Thalassiosira_weissflogii_0203172898,186.73,54,54,1.14E8,42,13,147,Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
16,359,tr|A0A089VKF1|A0A089VKF1_THAWE,169.61,32,32,6.01E7,15,15,37,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
17,72,Thalassiosira_weissflogii_0201803686,168.98,9,9,3.95E7,17,13,32,Carbamidomethylation; Oxidation (M),41289,Thalassiosira_weissflogii_0201803686
17,73,Thalassiosira_weissflogii_0203570456,168.98,9,9,3.95E7,17,13,32,Carbamidomethylation; Oxidation (M),41975,Thalassiosira_weissflogii_0203570456
17,74,Thalassiosira_weissflogii_0201773254,168.98,8,8,3.95E7,17,13,32,Carbamidomethylation; Oxidation (M),45212,Thalassiosira_weissflogii_0201773254
17,66,Thalassiosira_weissflogii_0203257228,168.98,8,8,3.95E7,17,13,32,Carbamidomethylation; Oxidation (M),44681,Thalassiosira_weissflogii_0203257228
17,67,tr|A0A089VKN5|A0A089VKN5_THAWE,168.98,8,8,3.95E7,17,13,32,Carbamidomethylation; Oxidation (M),44681,Elongation factor Tu  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=tufA PE=3 SV=1
14,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,164.55,19,19,9.82E7,19,19,50,Carbamidomethylation; Oxidation (M),81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
15,27,Thalassiosira_weissflogii_0203239758,144.09,14,14,2.04E7,15,6,28,,66984,Thalassiosira_weissflogii_0203239758
19,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,141.60,23,23,2.9E7,11,11,28,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
18,80,Thalassiosira_weissflogii_0203204228,136.36,27,27,6.67E6,12,11,16,,21092,Thalassiosira_weissflogii_0203204228
21,2,Thalassiosira_weissflogii_0203603364,127.51,40,40,1.01E7,12,12,19,Carbamidomethylation; Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
22,47,tr|A0A089VPE6|A0A089VPE6_THAWE,124.56,16,16,8.52E6,10,10,18,,39725,Photosystem II protein D1 OS=Thalassiosira weissflogii OX=1577725 GN=psbA PE=3 SV=1
22,48,Thalassiosira_weissflogii_0203215658,124.56,16,16,8.52E6,10,10,18,,41911,Thalassiosira_weissflogii_0203215658
