Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 325_T12_trypsin,Area 325_T12_trypsin,#Peptides,#Unique,#Spec 325_T12_trypsin,PTM,Avg. Mass,Description
1,10,Thalassiosira_weissflogii_0201860518,148.38,27,27,7.11E8,27,21,145,Carbamidomethylation; Oxidation(KPRY),42433,Thalassiosira_weissflogii_0201860518
1,11,Thalassiosira_weissflogii_0203473996,148.38,25,25,7.11E8,27,21,145,Carbamidomethylation; Oxidation(KPRY),46928,Thalassiosira_weissflogii_0203473996
7,1,gi|54036848,147.50,11,11,8.69E8,10,10,120,Deamidation(N); Pyro-glu from Q,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
5,6,Thalassiosira_weissflogii_0201860448,144.96,33,33,7.78E7,26,7,112,Oxidation (M); Deamidation(N); Oxidation(KPRY); Acetylation (K),32687,Thalassiosira_weissflogii_0201860448
8,19,tr|A0A089VKF6|A0A089VKF6_THAWE,142.00,29,29,1.09E8,27,27,62,,56361,Photosystem II CP47 reaction center protein OS=Thalassiosira weissflogii OX=1577725 GN=psbB PE=3 SV=1
8,20,Thalassiosira_weissflogii_0203103378,142.00,29,29,1.09E8,27,27,62,,56361,Thalassiosira_weissflogii_0203103378
10,16,tr|A0A089VNZ5|A0A089VNZ5_THAWE,137.13,22,22,1.3E8,23,23,79,Carbamidomethylation; Oxidation (M),83638,Photosystem I P700 chlorophyll a apoprotein A1 OS=Thalassiosira weissflogii OX=1577725 GN=psaA PE=3 SV=1
11,17,Thalassiosira_weissflogii_0203264230,124.37,67,67,4.93E6,16,2,50,Oxidation (M),9829,Thalassiosira_weissflogii_0203264230
6,18,Thalassiosira_weissflogii_0203172898,119.78,44,44,8.19E7,19,8,85,Oxidation (M),22018,Thalassiosira_weissflogii_0203172898
13,31,tr|A0A089VIJ5|A0A089VIJ5_THAWE,116.47,15,15,9.64E7,13,13,44,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,81999,Photosystem I P700 chlorophyll a apoprotein A2 OS=Thalassiosira weissflogii OX=1577725 GN=psaB PE=3 SV=1
14,14,Thalassiosira_weissflogii_0171348692,112.08,30,30,2.81E7,11,11,21,,28857,Thalassiosira_weissflogii_0171348692
14,15,tr|A0A089VIP5|A0A089VIP5_THAWE,112.08,25,25,2.81E7,11,11,21,,33988,Cytochrome f OS=Thalassiosira weissflogii OX=1577725 GN=petA PE=4 SV=1
17,80,Thalassiosira_weissflogii_0203204228,101.04,21,21,1E7,8,7,14,,21092,Thalassiosira_weissflogii_0203204228
16,27,Thalassiosira_weissflogii_0203239758,100.53,8,8,1.78E7,9,5,15,,66984,Thalassiosira_weissflogii_0203239758
15,21,tr|A0A089VKJ7|A0A089VKJ7_THAWE,89.51,19,19,2.97E7,8,8,20,Carbamidomethylation,20450,Photosystem I subunit III OS=Thalassiosira weissflogii OX=1577725 GN=psaF PE=4 SV=1
18,359,tr|A0A089VKF1|A0A089VKF1_THAWE,80.74,26,26,3.29E7,7,7,16,,8166,ATP synthase subunit c  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=atpH PE=3 SV=1
21,2,Thalassiosira_weissflogii_0203603364,76.11,23,23,7.96E6,5,5,9,Oxidation (M),22324,Thalassiosira_weissflogii_0203603364
23,48,Thalassiosira_weissflogii_0203215658,71.94,10,10,4.97E6,4,4,9,,41911,Thalassiosira_weissflogii_0203215658
23,47,tr|A0A089VPE6|A0A089VPE6_THAWE,71.94,10,10,4.97E6,4,4,9,,39725,Photosystem II protein D1 OS=Thalassiosira weissflogii OX=1577725 GN=psbA PE=3 SV=1
20,67,tr|A0A089VKN5|A0A089VKN5_THAWE,70.51,3,3,1.05E7,5,5,7,Carbamidomethylation,44681,Elongation factor Tu  chloroplastic OS=Thalassiosira weissflogii OX=1577725 GN=tufA PE=3 SV=1
20,66,Thalassiosira_weissflogii_0203257228,70.51,3,3,1.05E7,5,5,7,Carbamidomethylation,44681,Thalassiosira_weissflogii_0203257228
24,103,Thalassiosira_weissflogii_0201773708,67.97,15,15,5.55E6,3,1,7,Oxidation(KPRY),21231,Thalassiosira_weissflogii_0201773708
27,143,Thalassiosira_weissflogii_0203358160,66.36,23,23,4.22E6,5,5,10,Carbamidomethylation,21786,Thalassiosira_weissflogii_0203358160
25,45,Thalassiosira_weissflogii_0201829098,62.68,17,17,2.93E5,4,4,6,,21478,Thalassiosira_weissflogii_0201829098
30,40,Thalassiosira_weissflogii_0203380632,59.82,6,6,5.45E6,4,4,6,,48650,Thalassiosira_weissflogii_0203380632
30,50,Thalassiosira_weissflogii_0203258562,59.82,6,6,5.45E6,4,4,6,,51275,Thalassiosira_weissflogii_0203258562
30,52,Thalassiosira_weissflogii_0203504934,59.82,6,6,5.45E6,4,4,6,,54995,Thalassiosira_weissflogii_0203504934
30,41,Thalassiosira_weissflogii_0171353580,59.82,5,5,5.45E6,4,4,6,,59616,Thalassiosira_weissflogii_0171353580
30,53,Thalassiosira_weissflogii_0203596494,59.82,5,5,5.45E6,4,4,6,,60290,Thalassiosira_weissflogii_0203596494
30,43,Thalassiosira_weissflogii_0201768054,59.82,5,5,5.45E6,4,4,6,,63367,Thalassiosira_weissflogii_0201768054
30,55,Thalassiosira_weissflogii_0171384922,59.82,5,5,5.45E6,4,4,6,,62188,Thalassiosira_weissflogii_0171384922
30,54,Thalassiosira_weissflogii_0203350278,59.82,5,5,5.45E6,4,4,6,,62542,Thalassiosira_weissflogii_0203350278
30,51,Thalassiosira_weissflogii_0203135464,59.82,6,6,5.45E6,4,4,6,,49686,Thalassiosira_weissflogii_0203135464
30,56,Thalassiosira_weissflogii_0203474020,59.82,5,5,5.45E6,4,4,6,,65948,Thalassiosira_weissflogii_0203474020
30,57,Thalassiosira_weissflogii_0203288872,59.82,5,5,5.45E6,4,4,6,,66463,Thalassiosira_weissflogii_0203288872
30,58,Thalassiosira_weissflogii_0203104054,59.82,5,5,5.45E6,4,4,6,,68468,Thalassiosira_weissflogii_0203104054
30,59,Thalassiosira_weissflogii_0201798846,59.82,4,4,5.45E6,4,4,6,,72345,Thalassiosira_weissflogii_0201798846
30,60,Thalassiosira_weissflogii_0201829586,59.82,4,4,5.45E6,4,4,6,,75205,Thalassiosira_weissflogii_0201829586
32,355,tr|A0A089VQE1|A0A089VQE1_THAWE,59.38,12,12,2.92E6,2,2,5,,23891,Cytochrome b6 OS=Thalassiosira weissflogii OX=1577725 GN=petB PE=3 SV=1
28,159,Thalassiosira_weissflogii_0203203762,56.94,4,4,1.22E5,1,1,1,,21802,Thalassiosira_weissflogii_0203203762
28,160,Thalassiosira_weissflogii_0203386012,56.94,4,4,1.22E5,1,1,1,,22430,Thalassiosira_weissflogii_0203386012
45,244,Thalassiosira_weissflogii_0201777954,55.85,7,7,9.3E5,3,3,5,,36048,Thalassiosira_weissflogii_0201777954
22,245,Thalassiosira_weissflogii_0201836064,55.68,10,10,2.91E5,4,1,9,Oxidation (M),21456,Thalassiosira_weissflogii_0201836064
22,247,Thalassiosira_weissflogii_0171420522,55.68,9,9,2.91E5,4,1,9,Oxidation (M),21783,Thalassiosira_weissflogii_0171420522
22,246,Thalassiosira_weissflogii_0203294152,55.68,9,9,2.91E5,4,1,9,Oxidation (M),21811,Thalassiosira_weissflogii_0203294152
39,283,Thalassiosira_weissflogii_0203386184,51.96,4,4,4.1E6,1,1,4,,21385,Thalassiosira_weissflogii_0203386184
34,311,Thalassiosira_weissflogii_0201805882,51.55,8,8,3.41E6,2,2,3,,25794,Thalassiosira_weissflogii_0201805882
33,208,tr|A0A089VKJ4|A0A089VKJ4_THAWE,51.33,12,12,5.09E6,3,3,7,,15754,Photosystem I reaction center subunit XI OS=Thalassiosira weissflogii OX=1577725 GN=psaL PE=3 SV=1
35,20643,tr|A0A089VP78|A0A089VP78_THAWE,49.03,30,30,2.94E6,2,2,3,,6376,Photosystem II reaction center protein Z OS=Thalassiosira weissflogii OX=1577725 GN=psbZ PE=3 SV=1
36,111,Thalassiosira_weissflogii_0203627540,46.69,12,12,2.04E6,3,3,4,,23429,Thalassiosira_weissflogii_0203627540
37,202,Thalassiosira_weissflogii_0203255940,45.17,4,4,1.81E5,1,1,1,,32035,Thalassiosira_weissflogii_0203255940
31,215,Thalassiosira_weissflogii_0203391506,43.88,7,7,2.37E5,2,1,5,,26700,Thalassiosira_weissflogii_0203391506
31,216,Thalassiosira_weissflogii_0203580532,43.88,7,7,2.37E5,2,1,5,,26802,Thalassiosira_weissflogii_0203580532
38,346,Thalassiosira_weissflogii_0201788838,43.75,3,3,9.47E4,1,1,1,Carbamidomethylation,47433,Thalassiosira_weissflogii_0201788838
40,310,tr|A0A089X953|A0A089X953_THAWE,41.55,11,11,4.57E5,1,1,1,,9514,Cytochrome b559 subunit alpha OS=Thalassiosira weissflogii OX=1577725 GN=psbE PE=3 SV=1
46,383,Thalassiosira_weissflogii_0203399774,41.01,8,8,1.56E5,2,2,3,,21739,Thalassiosira_weissflogii_0203399774
41,345,Thalassiosira_weissflogii_0171423018,39.01,4,4,4.46E5,1,1,1,,26951,Thalassiosira_weissflogii_0171423018
48,616,Thalassiosira_weissflogii_0203216890,38.66,4,4,1.82E5,1,1,1,,29550,Thalassiosira_weissflogii_0203216890
42,171,Thalassiosira_weissflogii_0203172154,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,59067,Thalassiosira_weissflogii_0203172154
42,175,Thalassiosira_weissflogii_0203602520,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,55257,Thalassiosira_weissflogii_0203602520
42,180,Thalassiosira_weissflogii_0203198652,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,77613,Thalassiosira_weissflogii_0203198652
42,186,Thalassiosira_weissflogii_0203443356,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,107357,Thalassiosira_weissflogii_0203443356
42,200,Thalassiosira_weissflogii_0203350722,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,88331,Thalassiosira_weissflogii_0203350722
42,183,Thalassiosira_weissflogii_0203596664,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,90812,Thalassiosira_weissflogii_0203596664
42,184,Thalassiosira_weissflogii_0201861748,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,92412,Thalassiosira_weissflogii_0201861748
42,185,Thalassiosira_weissflogii_0201768126,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,95868,Thalassiosira_weissflogii_0201768126
42,182,Thalassiosira_weissflogii_0203380678,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,88954,Thalassiosira_weissflogii_0203380678
42,322,Thalassiosira_weissflogii_0203350282,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,56678,Thalassiosira_weissflogii_0203350282
42,324,Thalassiosira_weissflogii_0201798972,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,59807,Thalassiosira_weissflogii_0201798972
42,323,Thalassiosira_weissflogii_0171384548,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,59916,Thalassiosira_weissflogii_0171384548
42,320,Thalassiosira_weissflogii_0171415522,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,62225,Thalassiosira_weissflogii_0171415522
42,321,Thalassiosira_weissflogii_0203258542,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,67655,Thalassiosira_weissflogii_0203258542
42,317,Thalassiosira_weissflogii_0203535698,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,69922,Thalassiosira_weissflogii_0203535698
42,318,Thalassiosira_weissflogii_0203167036,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,100898,Thalassiosira_weissflogii_0203167036
42,193,Thalassiosira_weissflogii_0203135720,36.08,1,1,1.64E5,1,1,1,Carbamidomethylation,116665,Thalassiosira_weissflogii_0203135720
44,248,Thalassiosira_weissflogii_0203581516,34.11,2,2,1.48E6,2,2,2,,100447,Thalassiosira_weissflogii_0203581516
43,422,Thalassiosira_weissflogii_0171421366,33.78,4,4,4.43E5,1,1,3,,27428,Thalassiosira_weissflogii_0171421366
72,194,Thalassiosira_weissflogii_0203294158,31.24,8,8,2.45E5,1,1,2,,20115,Thalassiosira_weissflogii_0203294158
72,188,Thalassiosira_weissflogii_0203229036,31.24,8,8,2.45E5,1,1,2,,18541,Thalassiosira_weissflogii_0203229036
72,195,Thalassiosira_weissflogii_0203540620,31.24,8,8,2.45E5,1,1,2,,18633,Thalassiosira_weissflogii_0203540620
72,190,Thalassiosira_weissflogii_0203261016,31.24,8,8,2.45E5,1,1,2,,18625,Thalassiosira_weissflogii_0203261016
72,191,Thalassiosira_weissflogii_0201834710,31.24,8,8,2.45E5,1,1,2,,19740,Thalassiosira_weissflogii_0201834710
72,192,Thalassiosira_weissflogii_0203289348,31.24,6,6,2.45E5,1,1,2,,24482,Thalassiosira_weissflogii_0203289348
72,187,Thalassiosira_weissflogii_0203382750,31.24,8,8,2.45E5,1,1,2,,18548,Thalassiosira_weissflogii_0203382750
72,189,Thalassiosira_weissflogii_0203604662,31.24,7,7,2.45E5,1,1,2,,22034,Thalassiosira_weissflogii_0203604662
