Peptides,GO-term,Name
74,GO:0016021,integral component of membrane
53,GO:0009535,chloroplast thylakoid membrane
28,GO:0005829,cytosol
23,GO:0009507,chloroplast
13,GO:1990904,ribonucleoprotein complex
11,GO:0031361,integral component of thylakoid membrane
10,GO:0005739,mitochondrion
10,GO:0009941,chloroplast envelope
7,GO:0016020,membrane
7,GO:0005634,nucleus
5,GO:0022625,cytosolic large ribosomal subunit
5,GO:0005623,cell
5,GO:0022627,cytosolic small ribosomal subunit
4,GO:0005840,ribosome
3,GO:0005737,cytoplasm
3,GO:0005856,cytoskeleton
3,GO:0000118,histone deacetylase complex
3,GO:0000785,chromatin
2,GO:0005750,mitochondrial respiratory chain complex III
1,GO:0009536,plastid
1,GO:0030076,light-harvesting complex
1,GO:0009523,photosystem II
1,GO:0009539,photosystem II reaction center
