TermID, Name, Eliminated, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
GO:0002189,ribose phosphate diphosphokinase complex, False,0.004,-5.685,6.978,2.846,0.73,0,-1, False
GO:0005623,(obsolete) cell, False,0.13,-2.754,-3.92,4.463,1,0,-1, False
GO:0009986,cell surface, False,0.232,0.211,-4.109,4.642,1,0,-1, False
GO:0032991,protein-containing complex, False,11.972,-1.258,-4.114,6.354,1,0,-1, False
GO:0019898,extrinsic component of membrane, False,0.204,3.262,-3.414,4.585,0.984,0,-1, False
GO:0009579,thylakoid, False,0.285,6.802,0.155,4.73,0.856,0,-1, False
GO:0016020,membrane, False,63.598,-4.335,-3.483,7.08,1,0,-1, False
GO:0016021,integral component of membrane, False,56.518,1.501,-3.865,7.028,0.97,0.049,-1, False
GO:0048471,perinuclear region of cytoplasm, False,0.158,2.861,0.149,4.474,0.799,0.092,-1, False
GO:0042651,thylakoid membrane, False,0.214,5.249,-1.679,4.606,0.715,0.094,-1, False
GO:0031361,integral component of thylakoid membrane, True,0.003, null, null,2.721,0.778,0.724,42651, True
GO:0009538,photosystem I reaction center, True,0.011, null, null,3.301,0.576,0.787,42651, True
GO:0009539,photosystem II reaction center, True,0.011, null, null,3.305,0.575,0.788,42651, True
GO:0009654,photosystem II oxygen evolving complex, True,0.025, null, null,3.673,0.507,0.834,42651, True
GO:0009522,photosystem I, True,0.048, null, null,3.954,0.54,0.873,42651, True
GO:0009523,photosystem II, True,0.079, null, null,4.177,0.527,0.92,42651, True
GO:0009535,chloroplast thylakoid membrane, True,0.105, null, null,4.296,0.524,0.926,42651, True
GO:0009521,photosystem, True,0.11, null, null,4.319,0.525,0.93,42651, True
GO:0009534,chloroplast thylakoid, True,0.119, null, null,4.351,0.578,0.989,42651, True
GO:0005886,plasma membrane, False,15.596,-5.817,-2.21,6.469,0.96,0.136,-1, False
GO:0010494,cytoplasmic stress granule, False,0.035,3.273,9.238,3.818,0.756,0.145,-1, False
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment, False,0.044,4.646,4.554,3.918,0.763,0.147,-1, False
GO:0005788,endoplasmic reticulum lumen, False,0.078,1.846,7.19,4.17,0.669,0.182,-1, False
GO:0005829,cytosol, False,1.946,3.375,1.951,5.565,0.754,0.201,-1, False
GO:0030686,90S preribosome, False,0.042,-6.142,4.812,3.899,0.687,0.208,-1, False
GO:0032040,small-subunit processome, True,0.091, null, null,4.235,0.673,0.848,30686, True
GO:0005737,cytoplasm, False,24.924,5.759,3.014,6.673,0.774,0.211,-1, False
GO:0071540,"eukaryotic translation initiation factor 3 complex, eIF3e", False,0.012,-4.001,2.459,3.352,0.676,0.222,-1, False
GO:0071541,"eukaryotic translation initiation factor 3 complex, eIF3m", True,0.013, null, null,3.405,0.674,0.757,71540, True
GO:0009507,chloroplast, False,0.56,3.087,5.943,5.024,0.68,0.229,-1, False
GO:0009941,chloroplast envelope, True,0.109, null, null,4.312,0.675,0.839,9507, True
GO:0030870,Mre11 complex, False,0.02,-1.553,7.447,3.579,0.638,0.229,-1, False
GO:0030076,light-harvesting complex, False,0.05,-6.028,4.092,3.978,0.685,0.243,-1, False
GO:0005774,vacuolar membrane, False,0.368,2.155,5.54,4.842,0.633,0.251,-1, False
GO:0000139,Golgi membrane, True,0.705, null, null,5.124,0.594,0.741,5774, True
GO:0005789,endoplasmic reticulum membrane, True,1.325, null, null,5.398,0.579,0.806,5774, True
GO:0005765,lysosomal membrane, True,0.108, null, null,4.312,0.661,0.81,5774, True
GO:0009536,plastid, False,0.627,3.191,4.256,5.074,0.712,0.264,-1, False
GO:0005739,mitochondrion, False,2.679,2.755,4.756,5.704,0.673,0.312,-1, False
GO:1990904,ribonucleoprotein complex, False,2.023,-5.408,5.187,5.582,0.663,0.325,-1, False
GO:0000785,chromatin, False,0.55,4.241,8.209,5.017,0.715,0.34,-1, False
GO:0000786,nucleosome, True,0.206, null, null,4.59,0.585,0.704,785, True
GO:0005740,mitochondrial envelope, False,1.288,2.329,5.144,5.386,0.631,0.34,-1, False
GO:0005743,mitochondrial inner membrane, True,0.942, null, null,5.251,0.591,0.872,5740, True
GO:0005871,kinesin complex, False,0.036,-1.499,7.998,3.835,0.634,0.341,-1, False
GO:0008076,voltage-gated potassium channel complex, False,0.09,-5.525,3.369,4.232,0.655,0.343,-1, False
GO:0000145,exocyst, False,0.1,-3.058,2.968,4.275,0.638,0.346,-1, False
GO:0005852,eukaryotic translation initiation factor 3 complex, False,0.111,-3.055,3.847,4.322,0.641,0.349,-1, False
GO:0008287,protein serine/threonine phosphatase complex, False,0.076,-5.463,6.31,4.157,0.672,0.374,-1, False
GO:0000159,protein phosphatase type 2A complex, True,0.048, null, null,3.959,0.673,0.968,8287, True
GO:0034455,t-UTP complex, False,0.003,-0.59,8.028,2.719,0.64,0.389,-1, False
GO:0009316,3-isopropylmalate dehydratase complex, False,0.037,-3.963,6.336,3.84,0.609,0.43,-1, False
GO:0005960,glycine cleavage complex, False,0.051,-3.718,5.746,3.984,0.6,0.44,-1, False
GO:0043614,multi-eIF complex, False,0.007,-4.589,3.16,3.132,0.655,0.441,-1, False
GO:0034663,endoplasmic reticulum chaperone complex, False,0.005,-1.045,3.562,2.932,0.635,0.45,-1, False
GO:0033179,"proton-transporting V-type ATPase, V0 domain", False,0.075,-5.505,4.313,4.151,0.629,0.461,-1, False
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain", True,0.016, null, null,3.478,0.553,0.823,33179, True
GO:0016471,vacuolar proton-transporting V-type ATPase complex, True,0.03, null, null,3.758,0.516,0.858,33179, True
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)", True,0.211, null, null,4.601,0.559,0.872,33179, True
GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)", True,0.255, null, null,4.684,0.557,0.88,33179, True
GO:0005856,cytoskeleton, False,1.97,4.315,7.361,5.571,0.689,0.49,-1, False
GO:0043231,intracellular membrane-bounded organelle, False,18.828,3.405,5.563,6.551,0.629,0.505,-1, False
GO:0000015,phosphopyruvate hydratase complex, False,0.064,-3.681,6.024,4.086,0.596,0.506,-1, False
GO:0000502,proteasome complex, False,0.427,-5.205,6.025,4.907,0.623,0.514,-1, False
