Names	total	elements
no enz trypsin	85	Thalassiosira_weissflogii_0203386184
		Thalassiosira_weissflogii_0203443340
		Thalassiosira_weissflogii_0201834710
		tr|A0A089VKJ4|A0A089VKJ4_THAWE
		Thalassiosira_weissflogii_0171421366
		Thalassiosira_weissflogii_0203350722
		tr|A0A089VIP5|A0A089VIP5_THAWE
		Thalassiosira_weissflogii_0203258542
		Thalassiosira_weissflogii_0203596664
		Thalassiosira_weissflogii_0203167036
		Thalassiosira_weissflogii_0203602520
		Thalassiosira_weissflogii_0203380678
		tr|A0A089VQE1|A0A089VQE1_THAWE
		Thalassiosira_weissflogii_0171353580
		Thalassiosira_weissflogii_0201861748
		Thalassiosira_weissflogii_0203535698
		Thalassiosira_weissflogii_0201829586
		Thalassiosira_weissflogii_0203229036
		Thalassiosira_weissflogii_0203203762
		tr|A0A089VKF1|A0A089VKF1_THAWE
		Thalassiosira_weissflogii_0171415522
		Thalassiosira_weissflogii_0203107800
		Thalassiosira_weissflogii_0203447044
		Thalassiosira_weissflogii_0203239758
		Thalassiosira_weissflogii_0203358160
		Thalassiosira_weissflogii_0201805882
		Thalassiosira_weissflogii_0203580532
		Thalassiosira_weissflogii_0203540620
		Thalassiosira_weissflogii_0203474020
		Thalassiosira_weissflogii_0201788838
		Thalassiosira_weissflogii_0203294156
		Thalassiosira_weissflogii_0171330038
		Thalassiosira_weissflogii_0201773748
		Thalassiosira_weissflogii_0203627540
		Thalassiosira_weissflogii_0203172154
		Thalassiosira_weissflogii_0201798972
		Thalassiosira_weissflogii_0171384922
		Thalassiosira_weissflogii_0203264230
		Thalassiosira_weissflogii_0203255940
		Thalassiosira_weissflogii_0203350278
		Thalassiosira_weissflogii_0203215658
		Thalassiosira_weissflogii_0201768054
		tr|A0A089VKJ7|A0A089VKJ7_THAWE
		Thalassiosira_weissflogii_0203596494
		Thalassiosira_weissflogii_0203399774
		Thalassiosira_weissflogii_0201829098
		tr|A0A089VIJ5|A0A089VIJ5_THAWE
		tr|A0A089VP78|A0A089VP78_THAWE
		Thalassiosira_weissflogii_0203380632
		Thalassiosira_weissflogii_0203135720
		Thalassiosira_weissflogii_0203603364
		gi|54036848
		tr|A0A089VKF6|A0A089VKF6_THAWE
		Thalassiosira_weissflogii_0171348692
		tr|A0A089VKN5|A0A089VKN5_THAWE
		Thalassiosira_weissflogii_0201798846
		Thalassiosira_weissflogii_0203473996
		Thalassiosira_weissflogii_0203258562
		Thalassiosira_weissflogii_0203288872
		Thalassiosira_weissflogii_0171428124
		Thalassiosira_weissflogii_0203386012
		Thalassiosira_weissflogii_0203204228
		Thalassiosira_weissflogii_0203103378
		Thalassiosira_weissflogii_0203289348
		Thalassiosira_weissflogii_0203391506
		Thalassiosira_weissflogii_0203443356
		Thalassiosira_weissflogii_0203257228
		Thalassiosira_weissflogii_0203294158
		Thalassiosira_weissflogii_0203261016
		tr|A0A089VNZ5|A0A089VNZ5_THAWE
		Thalassiosira_weissflogii_0203172898
		tr|A0A089VPE6|A0A089VPE6_THAWE
		Thalassiosira_weissflogii_0201860448
		Thalassiosira_weissflogii_0203350282
		Thalassiosira_weissflogii_0203198652
		Thalassiosira_weissflogii_0203216890
		Thalassiosira_weissflogii_0201773708
		Thalassiosira_weissflogii_0201768126
		Thalassiosira_weissflogii_0203505222
		Thalassiosira_weissflogii_0203385142
		Thalassiosira_weissflogii_0203504934
		Thalassiosira_weissflogii_0171384548
		Thalassiosira_weissflogii_0203104054
		Thalassiosira_weissflogii_0201860518
		Thalassiosira_weissflogii_0201777954
trypsin	43	Thalassiosira_weissflogii_0201806284
		Thalassiosira_weissflogii_0203627548
		Thalassiosira_weissflogii_0203581516
		Thalassiosira_weissflogii_0201801894
		Thalassiosira_weissflogii_0203508212
		Thalassiosira_weissflogii_0201800228
		Thalassiosira_weissflogii_0203445388
		Thalassiosira_weissflogii_0201770010
		Thalassiosira_weissflogii_0203167400
		Thalassiosira_weissflogii_0203105324
