Names	total	elements
DN80 no enz trypsin	63	Thalassiosira_weissflogii_0203277612
		Thalassiosira_weissflogii_0203541550
		Thalassiosira_weissflogii_0171418338
		Thalassiosira_weissflogii_0171348692
		Thalassiosira_weissflogii_0171372482
		Thalassiosira_weissflogii_0203204228
		Thalassiosira_weissflogii_0171449500
		Thalassiosira_weissflogii_0203540914
		Thalassiosira_weissflogii_0203237080
		Thalassiosira_weissflogii_0203319814
		Thalassiosira_weissflogii_0171393296
		Thalassiosira_weissflogii_0201804746
		Thalassiosira_weissflogii_0203418580
		Thalassiosira_weissflogii_0203211260
		Thalassiosira_weissflogii_0203571294
		Thalassiosira_weissflogii_0201804342
		Thalassiosira_weissflogii_0203079806
		Thalassiosira_weissflogii_0171330038
		Thalassiosira_weissflogii_0203311806
		Thalassiosira_weissflogii_0203294658
		Thalassiosira_weissflogii_0171426512
		Thalassiosira_weissflogii_0203386088
		Thalassiosira_weissflogii_0203519974
		Thalassiosira_weissflogii_0201768196
		Thalassiosira_weissflogii_0203362476
		Thalassiosira_weissflogii_0201783044
		Thalassiosira_weissflogii_0203296644
		Thalassiosira_weissflogii_0203122474
		Thalassiosira_weissflogii_0203179192
		Thalassiosira_weissflogii_0171407120
		Thalassiosira_weissflogii_0171390204
		Thalassiosira_weissflogii_0203319140
		Thalassiosira_weissflogii_0203358160
		Thalassiosira_weissflogii_0201805882
		Thalassiosira_weissflogii_0203258570
		Thalassiosira_weissflogii_0203627540
		Thalassiosira_weissflogii_0203407640
		Thalassiosira_weissflogii_0203215658
		Thalassiosira_weissflogii_0203603364
		Thalassiosira_weissflogii_0203247132
		Thalassiosira_weissflogii_0203103378
		Thalassiosira_weissflogii_0203443172
		Thalassiosira_weissflogii_0203386744
		Thalassiosira_weissflogii_0203264358
		Thalassiosira_weissflogii_0203245572
		Thalassiosira_weissflogii_0203479218
		Thalassiosira_weissflogii_0171448610
		Thalassiosira_weissflogii_0203581516
		Thalassiosira_weissflogii_0201783116
		Thalassiosira_weissflogii_0203239758
		Thalassiosira_weissflogii_0203389878
		Thalassiosira_weissflogii_0171369240
		Thalassiosira_weissflogii_0203355956
		Thalassiosira_weissflogii_0203389058
		Thalassiosira_weissflogii_0171402288
		Thalassiosira_weissflogii_0203399586
		Thalassiosira_weissflogii_0203392864
		Thalassiosira_weissflogii_0203090354
		Thalassiosira_weissflogii_0171368876
		Thalassiosira_weissflogii_0203187078
		Thalassiosira_weissflogii_0203104108
		Thalassiosira_weissflogii_0203497458
		Thalassiosira_weissflogii_0201845386
no enz trypsin	234	Thalassiosira_weissflogii_0203476974
		Thalassiosira_weissflogii_0203140510
		Thalassiosira_weissflogii_0171421366
		Thalassiosira_weissflogii_0201769984
		Thalassiosira_weissflogii_0171392854
		Thalassiosira_weissflogii_0203565922
		Thalassiosira_weissflogii_0171384842
		Thalassiosira_weissflogii_0201768056
		Thalassiosira_weissflogii_0203321206
		Thalassiosira_weissflogii_0203140972
		Thalassiosira_weissflogii_0171336756
		Thalassiosira_weissflogii_0203289744
		Thalassiosira_weissflogii_0203448720
		Thalassiosira_weissflogii_0203580532
		tr|A0A089X8Z4|A0A089X8Z4_THAWE
